,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21C,22H,23C,24H,25C,26H,27C,28H,29C,30O,31H,32C,33O,34O,35H
1N,0.0,1.016395858791825,1.0179719359481088,1.4580218954754787,2.067693033551736,2.458876983553187,3.3980869336340693,2.6339003319186105,3.2668547409904054,3.9334649310221366,2.580940244877292,3.698353829056895,2.8493478245039334,2.438458630674002,4.290376870943512,4.815650899170406,5.108505319804683,6.138225038610488,5.0445681061826235,5.190843085746569,6.267009868799555,6.9242496215920815,4.637379844091466,4.023929592773192,6.791560454228326,7.745213245862202,5.311795851436184,5.302819718256608,6.3689528578111885,7.3042846224822675,7.15752677103803,4.8785945242394675,4.53181280683328,6.212467359102647,6.666838766932366
2H,0.0,0.0,1.6591688496684507,2.075312797264961,2.345699829143074,3.3584491104527503,4.192073316299543,3.5310211254025656,4.240787079519705,4.78736489652259,2.8933679367626643,4.082123112381364,2.8118895216001034,2.159793600148034,4.1661704181865575,4.71357882706693,5.190186117502405,6.1552477282551505,5.3218780313697085,5.272651392634026,6.1979910028548595,6.7648205149150415,4.905076805230835,4.485548492248995,6.724745306208569,7.600204333858395,5.545122102100005,5.656888490102594,6.431363551284035,7.35128304361368,7.293862167006445,4.451998102345919,3.911103991967988,5.792361654783608,6.127980546782044
3H,0.0,0.0,0.0,2.059322607112387,2.935746725661911,2.757552914026366,3.7625101032220485,3.037177959804531,2.9299596690983507,3.6257490435734345,2.814326687263653,3.922966109885212,2.8562454369941626,2.39295470693361,4.21439657809443,4.910421040580005,4.760716115262273,5.83498269391316,4.710920795697782,4.589657843794125,5.647919497383325,6.415310935282655,3.8460504257897865,3.2515588117973464,6.043072856909237,7.016009025135277,4.390143367808143,4.30835061821504,5.492495831510761,6.38358731367478,6.188674069216557,4.8192724976201236,4.50065294326999,6.139086852895467,6.600607562800333
4C,0.0,0.0,0.0,0.0,1.1005825145758372,1.5358500511594952,2.1696207439816884,2.152831338594342,2.8475707278407416,3.16274627744388,1.5499604640047882,2.4286792462514284,2.4683920314798176,2.6035534318062545,3.8386290078749226,4.077440202518381,4.675112456453322,5.64161604369489,4.393311831092448,5.142626450142805,6.374941818925562,6.9281113413797515,4.770199763600748,4.008396280937776,7.139151567538267,8.139385067029759,5.740329127120755,5.843779273934719,6.863881408500329,7.956864648521582,7.87618490384695,4.769989966419959,4.753416358038757,6.002525899015826,6.615781437789519
5H,0.0,0.0,0.0,0.0,0.0,2.1218230866087,2.4258436523630156,2.453638370846952,3.7784936225033405,4.060261668851275,2.121101394396719,2.7775455415844608,3.037994280941691,3.1662922258082236,4.304796661264355,4.3398399257596525,5.3652023662755495,6.2390767366799285,5.12738396304064,5.990073411957529,7.171640115922362,7.619612887996169,5.762986814452243,5.05415741140465,8.00225532628363,8.964903402577349,6.759080333094713,6.902859722314677,7.820447683436014,8.922074138130991,8.876396242730902,5.11092941800738,5.046732751749874,6.297699155355578,6.866096667119004
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.090348072456657,1.09224108130742,1.8482023312979587,2.3989493707219767,2.518524418090064,2.857318457547104,3.6590174080366977,3.9303968768505357,4.907047550325748,5.0775994560246245,5.401924980337585,6.375076261062892,4.8408622019791645,5.829565370526565,7.166781956594173,7.811721718416108,5.230153390342641,4.258627922751974,7.871962012222726,8.927983606304041,6.147283553066611,6.054570145391663,7.426985153331545,8.47090425105224,8.260512758410783,6.048800880301997,6.153089683213506,7.220244225227487,7.916385030837839
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7824046248528391,2.423225801097012,2.503710955455453,2.724059436182398,2.586034418900176,4.039808209882509,4.52069345033108,5.105342199966517,5.051925852068023,5.580806871842359,6.4487711981762645,4.89299542683661,6.2385008200413665,7.611520468528135,8.166155760618032,5.789195067746019,4.804483040735941,8.44374539237597,9.502069450434389,6.834500665594533,6.817634487514472,8.104250153358564,9.218759472560507,9.05622741558403,6.366532529614699,6.6291844355880025,7.427734354490364,8.191734720274631
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.384707065909272,3.28087268231389,3.4638973670378674,3.891342597308185,4.519070651243776,4.617045589941313,5.851189910935928,6.052918806930732,6.41318346389088,7.409903548218923,5.899319983988479,6.7375607665417645,8.036904817735637,8.723544442768965,6.0353208147197295,5.076127745900782,8.643145008833917,9.688400451203734,6.806982059524868,6.5862416217282735,8.095565700795934,9.041215002614999,8.748399139938806,6.8784692625453925,6.837873381063588,8.10463605175317,8.740532460556306
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3501166028279026,3.2970968351557026,3.572120342516443,4.10736179015234,4.366442690967666,5.176338554410144,5.561909149752599,5.148118385177252,6.155757756841401,4.479943040748456,5.236509539171037,6.572884182791926,7.374842174590831,4.325070658580818,3.255801511768872,7.09189744903097,8.173004748457457,5.06170493092483,4.785994955157538,6.439744720063913,7.390625864119732,7.071333848725177,6.388965916220827,6.573926150785417,7.501755461625165,8.230959242413926
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9696330997008467,2.854112762253767,3.792626439172217,4.329225521196402,4.558465012390143,4.811872573513916,4.319165430275023,5.222734234214417,3.471532528472342,4.639239276493618,6.027019111181274,6.728792302475961,3.9586526090360277,2.8947535438979526,6.724733853896753,7.80682887658344,4.942017978796505,4.890276712631472,6.26587248418774,7.35496177339313,7.168213715878752,5.937024872802857,6.364963615306274,6.8917140919023465,7.714078793500961
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2306436953000544,1.3584324646267967,2.0641194588492136,2.458018293374636,2.599872296555951,3.2899340184835575,4.17923623001343,3.010209263611023,4.054739417276295,5.308111316892122,5.7284968619195045,4.025067140192564,3.3865489128984527,6.280561181565644,7.266791421470849,5.233080412852506,5.592131941036847,6.250133772735516,7.487005999900887,7.565746237236129,3.6430284271416347,3.969093316424759,4.743375973988779,5.478043554254261
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27297330824412,3.1726358817799643,2.803847737623671,2.5309540091470217,3.383039781600438,4.087023041712887,2.816763621103998,4.447325799619785,5.738437435896651,6.054272861590984,4.555550212950999,3.8686354283554394,6.836443859804793,7.821370528773339,5.872089130990588,6.265833404757515,6.895184277439337,8.186800303900235,8.293313272818278,4.191997512465246,4.783272136399878,5.049795848710793,5.896661864351048
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0109019009224223,1.4482603998273522,2.072300816470733,2.5136057611850138,3.4181761335911105,2.6999443468963107,3.1171912287571883,4.206192025910665,4.584393010994548,3.3298055282561965,3.043711963248752,5.183777389182311,6.109745245178691,4.495967171497407,5.0414297435528805,5.305542717173632,6.555619790385994,6.756453677679975,2.3943954773586302,2.6835100059713777,3.600325728275775,4.267293859913759
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1078577341808704,2.8912697635732334,3.132119575401854,4.0452618770937505,3.491721575425725,3.330043254356268,4.244117660183622,4.70064636658977,3.3849334968270717,3.227502370280816,5.020886756885967,5.90500073028508,4.312204052322681,4.801957614303227,5.050092979283609,6.1958870804664485,6.3700103640691585,2.4610578766249334,2.272219886720517,3.7977328057423927,4.26988147957365
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968810037992647,1.5600743803959816,2.160229459208123,2.1334187189398928,2.5864121595525225,3.471268528629314,3.55909111630361,3.3909790833560067,3.42844198925936,4.690781964505153,5.515560425235218,4.630838168672126,5.415802421321491,5.1711019205116076,6.495683697356724,6.880604226293117,1.5208084668631199,2.4288048244295446,2.3804111954528504,3.212388664420171
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.154059027257355,2.402710114107477,2.4247865166124494,3.489960806151989,4.3497086631021045,4.267591643051043,4.331296471212038,4.245363522218493,5.647893921587062,6.432035450281611,5.633890603255891,6.399698878532842,6.194001713886345,7.535132104428933,7.927873715688442,2.14168823318496,3.1333899166550667,2.6190503830491947,3.5131932572358004
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0954716794208677,1.094852321737784,1.5129417466601647,2.5389868728572083,2.737166166076852,2.541015458078637,2.7514253620691975,3.82738253870183,4.703757883462742,3.828257122846387,4.696479442466492,4.334986126904683,5.701410760184405,6.115982840461922,2.553511700587261,3.5019279540461605,2.955161093869492,3.820120158010827
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7638480312656866,2.1547602671266617,2.6741040218608196,2.4572540413158763,3.401104445722623,3.7430425590525305,4.050175929351563,4.752959495188616,4.566309353389433,5.513256957754894,4.828245370496435,6.161156055807291,6.692245577602811,2.815062178944901,3.923703846022994,2.684633511187776,3.5692048853048504
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.162269987564097,3.3825984574969628,3.6929295114904193,2.720648317812731,2.5449264157167204,4.559769944609055,5.50264650033674,4.089486877546475,4.791550881943908,4.844505012806209,6.196083204655337,6.484964912762964,3.456554773394402,4.368761224233153,3.925323017944908,4.834947218146106
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4044929694106256,2.156727558715757,1.401582367914173,2.1595613748546203,2.4419159492675995,3.4299725643590055,2.437607372175112,3.4201190155138805,2.8221767907223514,4.1888090654118075,4.621177538595178,3.065386492302746,3.644008830245733,3.5596321294931066,4.1807088231929574
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087852627835195,2.4022183099340637,3.3943122637510568,1.3922864585921098,2.1657146378363876,2.780626275954487,3.86974470373693,2.4137183574321392,3.642921259784182,4.327845022523193,3.3767402671605167,3.8440526225884093,3.5006862614447867,3.8712327244962745
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.390820513683688,4.298912602140178,2.143116344246717,2.4855530319413432,3.8684249120219656,4.957529725510673,3.394810556737068,4.507321914575799,5.278796042339397,3.231447001070218,3.8505975154359064,2.932276820522208,3.240753471429086
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871105948900333,2.788289659199168,3.8739764616476475,1.3952607267325374,2.1563452485319186,2.4195819298964545,3.689130147146336,3.838819254317822,4.024175650574848,4.332604816388335,4.7859020586854175,5.361902222486989
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.875260483103579,4.960850774961007,2.1430187428619987,2.4634521369939963,3.39717147385353,4.567034033702463,4.543838207221039,4.368015956185498,4.6930018315799895,5.26568482078607,5.932571527376654
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0857966171409874,2.418855694198769,3.407609507658788,1.3992963032021395,2.365906558859282,3.175664348880421,4.472993751489056,4.650817326230785,4.67071993141121,4.850558236682517
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3968773992453882,4.296558773354117,2.1467833192965045,2.570833791471689,3.5186425452230985,5.083473514449941,5.204887185259427,5.075565845448588,5.086881535386933
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0891596731203608,1.3987951646788894,2.429082051418853,2.4541983835175696,4.982261270355332,5.063215723530569,5.703803036989019,6.1136479284626795
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1609506286722096,2.693718514274395,2.299301329623734,5.857878202096551,5.843778946903256,6.686256332003487,7.099010740188926
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3675495506798179,1.916464371137101,5.172997909381121,5.204394182803132,5.658562313369722,5.898074705983576
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9702148898955636,6.386117476086423,6.277978710826087,6.844813496717232,6.968284184030385
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.899643193583053,6.7448301929581485,7.491591673909975,7.664567830351837
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2126312053614718,1.3498649966877525,1.8759559400126324
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253918411243884,2.2886932593976343
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766314870016948
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
