 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,S26,H27,C28,O29,O30,H31
N1,0.0,2.0449235284297007,1.9855017528527705,3.0868146148981093,0.0827913574156317,0.20912974220179803,0.02130814739223741,0.029656505253121468,0.015244174692496712,0.0009510800458367719,0.0010430060150884435,0.05469081266543527,0.015044214277329868,0.01071680531870961,0.0038045966970358114,0.0018933817114653584,0.21954160083667223,0.059869431780500526,0.035090691213039815,0.0027901254070684667,0.007420604521647903,0.0004157328537339744,0.0007606260751553823,0.00016872558693614703,0.00010040858899040828,6.941969652986962e-05,1.9050083298166598e-05,0.0010054690508597697,0.00012402922732232535,0.00033125536665519484,0.00010342240457117402
H2,0.0,0.0,0.029524179128678663,0.10673851016968616,0.011787337435233969,0.02633200479687059,0.0018590555615458637,0.0019142542968708653,0.0008949170632761572,0.0001845223916694394,8.548315312784105e-05,0.0018845127677721285,0.0027720438320749663,0.00017394606574616667,4.2443577550344e-05,1.6337230047458462e-05,0.005423710681010663,0.0011192589460710112,0.00045156850085781297,3.755062420585098e-05,0.00015783773185074068,2.0805244987709415e-05,1.560257094423978e-05,3.0924317553360225e-06,1.982010298107184e-07,4.350230311200853e-06,9.581579836215326e-07,1.3706766233134715e-05,2.426494058238582e-06,4.184544895147191e-06,9.865186052504527e-07
H3,0.0,0.0,0.0,0.1056120129742848,0.027243050694708337,0.006392504617184214,0.002807758903364821,6.068936559966431e-05,0.0008231248107624101,0.00010901471508062421,0.00019117887484787488,0.0009769430308605997,0.0015777269690263607,0.00012798219097698293,2.3728143146328762e-05,1.567439285943273e-05,0.035299913534305616,0.08449815881980449,0.00575133277358475,0.0006225867781075589,0.0006253831758002981,5.187539394091445e-05,8.450454773700766e-05,1.0849734634943431e-05,3.7477753010106696e-05,1.7652152871749927e-05,1.3777569494166642e-06,0.00011092212137842061,5.192244713270178e-05,1.772887899720299e-05,4.710177637923252e-06
C4,0.0,0.0,0.0,0.0,1.817754077274763,2.639139751631126,0.0847078073225691,0.07646292860087334,0.1576478305282777,0.026921518227127184,0.005425351032992243,0.02723024647483066,0.015179139700815303,0.004450394702100333,0.0007534880660732268,0.0002832712540692395,2.608386848832309,0.280968345007083,0.22494468707513832,0.012633136484429208,0.035388587603685295,0.0032271518053723636,0.0035233874765594753,0.0007210254003462424,0.0011686091297649082,0.00039822911869880073,6.042948888151933e-05,0.004111714726525412,0.00045032846356070355,0.0011662629169168215,0.00023639317141710414
H5,0.0,0.0,0.0,0.0,0.0,0.07852322701548586,0.03032275765029957,0.001263841309520064,0.016812417752783526,0.0015926487379209764,0.0034730075590432286,0.006195128993333299,0.016381349762429664,0.00179636499149316,0.0001841186193614064,8.733639998093068e-06,0.10061208422084955,0.026079611405258607,0.011197456358693625,0.004889950650535768,0.0017083427454465117,0.0003614300660310654,0.0001784721187061411,5.312705924076511e-06,8.541920171567519e-05,6.210213353763372e-05,1.722656365954478e-05,7.943243380492682e-05,5.790289443130536e-05,3.892256991144816e-05,1.14467222789294e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.69652169205599,1.9291458885627124,2.8166625849386224,0.09064244987565429,0.08813232233467061,0.16650550151859772,0.044359656842690914,0.023287361835569842,0.0023462049870556223,0.0016762971163041263,0.19296581256628154,0.037963558482687274,0.03172392549975886,0.0032829730058453466,0.003261001484303111,0.0003194727273068132,0.0012058487884713531,0.00012783902658841662,0.00013264028176307452,0.00016821125645984786,4.263492944578395e-05,0.00047274875356517754,0.00015086195374447442,0.00014484655955035453,3.4104387019340265e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024865318081159327,0.0809916435867073,0.007267423824830477,0.030279497220625506,0.004182054656352685,0.0005614303814176491,0.001609399780756804,0.0016871838435967845,0.00013285213253655392,0.004591203075015482,0.0010848327571965077,0.0009169219603224477,8.410600481445485e-05,0.00015324644551006905,1.0226239228527945e-05,7.47019023252804e-05,1.5513389409971268e-05,3.4001141646644584e-06,8.284029043403862e-06,9.178345230509422e-07,6.29077855940352e-06,1.354651593343803e-06,1.7083078134305651e-06,6.890432506789779e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09147666626024709,0.0024370323236462266,0.00868972629038156,0.026877908647882753,0.003404862360550154,0.003407254307325247,8.422387214856997e-05,0.0007547252055333242,0.01720199302928882,0.003051942495146509,0.01001082488169458,0.0027794982924558287,0.0005410730903594452,5.401718785180698e-05,0.0004164893928610969,4.523060697869674e-05,8.28035286115636e-06,4.2399417102934045e-05,1.1024452987173916e-05,0.00011629761748910283,0.000264723876017281,3.477776301696878e-05,2.7972037033308084e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9948018866893675,1.8302282305828066,2.5921129719268223,0.2962265683973042,0.21800889265751555,0.012520658064945622,0.04355501958867081,0.028549391433850935,0.008149034138059202,0.0038826751712219693,0.00039797395526508517,0.0005989681948553871,4.158116002472845e-05,0.00010901857763265244,8.342135468297762e-06,6.470520270585034e-06,2.1299741644609238e-05,5.650921382160945e-06,0.00011646470599452341,1.5274927002123517e-05,3.720597627628053e-05,8.21081707147453e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252921542340121,0.0971800322146561,0.028848926824506904,0.010782619609067678,0.0026709672486693314,0.001514725521348792,0.0037063700301793734,0.0012675064646113787,0.00046067499077118157,8.89298490847068e-07,7.551204891220742e-05,7.388993515711206e-06,1.3250434935940802e-05,4.247259017819971e-07,1.0090429825027059e-07,2.897980112215315e-06,2.8335376667243395e-07,1.8309601579558077e-05,3.250641543495192e-06,5.432063758692429e-06,1.6452426923052599e-06
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10723408668496659,0.02130836974482697,0.022630899354598277,0.0014121565829956495,0.0013152580996076413,0.000512504073477249,0.00019449938489923824,0.0001487490514699985,2.0178158228301157e-05,1.9904988287855474e-05,2.8443233408559365e-06,1.1663117486571117e-05,2.2931006848914137e-06,6.720967171691683e-07,1.3496225974574116e-06,1.2531706539142817e-07,3.0213110433496837e-06,2.7412422871631037e-06,8.210420862075907e-07,2.0947930789994018e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0867739423671035,3.4392691038637806,0.13105799211765712,0.14239142175975228,0.004363745929972324,0.0013923933395514065,0.0008608794368535344,7.130350430040178e-05,9.86996984172761e-05,1.581788593774114e-05,2.3001022112334457e-05,3.6333026045554107e-06,4.921677682512282e-06,4.66965257232832e-06,2.174283861178239e-06,1.3900070648054097e-05,3.96181295914122e-06,3.50151929717768e-06,9.230828411643799e-07
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5360580785496541,0.03614928181407395,0.03252179070755812,0.001847518119322128,0.000836012311764403,0.00024986817500240177,4.743305491661243e-05,3.120835421831225e-05,6.955512073414383e-06,1.4065765876231096e-05,1.128358448898581e-06,8.471338262538985e-06,3.4339944732023064e-06,2.2849570464611446e-06,5.4243572317203e-06,2.0995044043431443e-06,1.4121801717725813e-06,7.067771964353042e-07
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.885211043517232,1.8423611204993149,0.001170238465361545,0.0001547530697042082,0.00018467050856574296,5.8183025295477364e-05,3.396031779033526e-05,1.5016064811579355e-06,4.979436967603168e-06,5.570257398668232e-07,5.333664181428333e-07,7.413997353059032e-07,1.6348331310922504e-07,8.096897174236783e-06,1.237305878018513e-06,2.5478438268888848e-06,7.203888979789852e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034456439421928664,0.0001538319396603427,2.0109281870683837e-05,5.312672122725903e-05,1.2691365622874429e-06,8.128125430162392e-06,5.545758043901117e-07,1.3025481797601657e-06,3.8493567000585927e-08,1.1867721583236346e-07,2.2239627461839717e-07,7.363859499953662e-08,1.9031685173365176e-06,8.490807934524724e-08,5.914928118411211e-07,2.1363769686644218e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001000815989050663,1.1793781409474846e-05,2.2826988382407265e-05,1.8793065414968169e-06,6.460158114007797e-06,2.545947259680048e-07,8.438454963677344e-07,3.3310580693779457e-07,3.1540240863492386e-08,1.516834312598192e-07,7.973009896744543e-08,7.835020060520392e-07,6.909356309314774e-08,2.536237400097008e-07,7.229389442642287e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.852168606911271,3.571125607747468,0.1377691512355368,0.2696693826784765,0.024706486261711236,0.030318815608715882,0.0026465914771680588,0.0060095895335408045,0.0048638854725807645,0.0013887070053399952,0.028643633720823902,0.006891683593990339,0.005574753520684594,0.0011760988269743367
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53696403949003,0.02661610185009966,0.0681410688145425,0.02990786662743039,0.021683937400386766,0.0008372922655718318,0.021592434297947105,0.0033557228358522193,0.000796051423487043,0.008096218203601652,0.004134380763058193,0.0012501717628049525,0.000235982364387044
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834604512788324,2.6971223680077263,0.09511576100701447,0.17810063963619355,0.025791508202590574,0.006684310700792229,0.03176341544299968,0.012050210252221527,0.1926768672358202,0.059593611260486706,0.026978395309345607,0.005197414446888371
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09583395803238026,0.015893152213727113,0.010391352432781553,0.0006010993670202414,0.00016792574659341142,0.0019739090536871062,0.0003358037742522413,0.03628476541458203,0.08198810398419087,0.005829933556317002,0.00019169419323739056
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.773789058537819,2.5703362571922144,0.09395592789723772,0.09651805284641735,0.18937794531911228,0.005057112531954067,2.787019464837692,0.27915078559188367,0.2200370144286648,0.05373403934195542
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08664555205520508,0.004722734817449226,0.005305232414437144,0.04200249435816439,0.00035576861780928226,0.11308128134910178,0.031129711158609852,0.010030823821762347,0.0004257557141100765
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7728666553763195,2.138611826950773,2.581871841759381,0.05304215447760474,0.17391449623132663,0.04367637738771045,0.03179800581809607,0.0022293864758486936
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02807644425504341,0.0862578848392147,0.025696946061066983,0.007028290062912834,0.0011294489302189348,0.013908034824215654,0.00035292549368759474
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0886792212166494,0.005009633431545479,0.026395468775124886,0.004536604717275905,0.003946232697893626,0.000300192113564135
S26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7402473935023386,0.04381645021208823,0.008488913286489125,0.00871067597084002,0.0005877359395914938
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006169739658903328,2.5339890171061086e-05,0.0008536785557278215,6.479249247126617e-06
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.203945772300274,3.3178725487387006,0.16741333820516258
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5103379521796282,0.06274000416474279
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.840277563241599
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
