 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
N1,0.0,1.9576353141605227,1.877147115226978,3.019578524881677,0.0967820583667679,0.19315157428212598,0.03139584788185057,0.00412550385897581,0.029111332869291337,0.003321425864381139,0.006257184224597187,4.584041135924366e-05,0.0007923645794157969,1.8514868578956012e-05,0.001868346058867057,0.00017284409516959975,0.2263175584535264,0.050537125837651284,0.034201373778381575,0.0018907844559762355,0.007446300309400897,0.0005003480498141366,0.0007155348193170485,0.00019014978870424137,0.00011275107767221015,1.8126410908925195e-05,2.2417591715950813e-05,1.1297231733098378e-05,6.214568493768946e-05,6.291266289815134e-06,9.679515804439376e-07,4.084420034633496e-06,0.001024780230744371,0.00010323424620926891,0.00030760883692865226,9.481790712662086e-05
H2,0.0,0.0,0.026663094764219464,0.11101894862334682,0.00471300048743295,0.03473293906694308,0.0021773994618365933,0.00016009636488156787,0.004577420010316691,0.0002847506665986099,0.0013019441758281847,1.0607794394879022e-05,8.481522912506811e-05,3.6277938399997822e-06,0.00030049431267320514,5.311855065270876e-05,0.016722569651496988,0.040936699816038535,0.002791127695571549,6.017182968376389e-05,0.0005006983012701971,5.3448186371873874e-05,3.3816258784069575e-05,1.4892508606312305e-06,1.1802544655825642e-05,1.6329235483780735e-06,1.4696531973612537e-06,9.165914938158437e-07,1.723766840777685e-05,3.6751514786992345e-06,1.7960775577918753e-07,3.493635403195583e-06,7.60802160405527e-05,2.38354850418121e-05,1.2240340519609205e-05,2.655039165633255e-06
H3,0.0,0.0,0.0,0.10484599609501133,0.03756030903245833,0.01233803437273362,0.0013210075137186639,0.0030526649419033713,0.0011338387852716236,0.0005519616785472081,0.0001790401085306481,9.182705709598338e-06,0.00017943314965218615,1.800141495578167e-05,4.904574244413151e-05,8.16516607859974e-06,0.010001987235946697,0.012302475366281929,0.0013272650613515014,0.00011741384572516722,0.00023049512695294538,1.6989899960018207e-05,5.5117356883571667e-05,9.352699565923217e-06,1.1638451546946982e-05,4.549336472203791e-06,5.0180163011503964e-06,3.792365512289564e-06,6.320947300020308e-06,1.2302292498045375e-06,1.9755511204699872e-07,1.5644896800282027e-07,1.2395016032562545e-05,7.202191661392909e-06,1.7912098309036395e-06,2.2740042737723343e-08
C4,0.0,0.0,0.0,0.0,1.9479699147044136,2.721739284293246,0.09383869673373302,0.0760521022159315,0.1754476062284776,0.026496597391010207,0.042783366961822444,0.00028687271958549587,0.0067385629795975455,0.0001230621610193161,0.010510253341144582,0.0005219885214859943,2.4753896172170857,0.2764626593237608,0.20850801778848926,0.010158357742910962,0.03468378619569118,0.006462316372333077,0.00342424191829116,0.0008728044470815988,0.0006791032197528968,0.0003028684843893181,0.00014016124438942512,5.537616836637227e-05,0.0003603301889698457,5.148262369369938e-05,6.375446141904106e-06,3.41009304962725e-05,0.003514419801370461,0.00040296464761332973,0.0010347491934545455,0.00022445175334195877
H5,0.0,0.0,0.0,0.0,0.0,0.07978472937796344,0.0024859472825402573,0.030226299912975207,0.015921707118807804,0.01852933894519715,0.0021731305341725626,7.456764129432081e-05,0.0016648572492434788,6.0430944249789675e-05,0.0013083083766605164,7.459885998106763e-05,0.10396176794234546,0.028275651889214992,0.01149227282149079,0.0004273560631844475,0.0013334554105550733,0.00012319497155610648,0.0005408933819103234,3.0082172408407715e-05,0.00015725251395659612,3.241277602428205e-05,7.9605557742779e-05,2.267686015100523e-05,3.7983132515795326e-05,1.2396760493249559e-05,2.3426252004909998e-06,2.2222744131550343e-06,0.0002880916180585391,3.0024218690027915e-05,4.932604636254112e-05,1.302696841665174e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.018131047299897,2.0856174011065156,2.872568405400032,0.19204610125775493,0.24911253853339682,0.004188970942501813,0.047379473664492994,0.0023282966056845655,0.04457289832436169,0.002437513789362522,0.16671236258359512,0.03782195341505218,0.024566795917148443,0.007886547707816716,0.0027438176131123204,0.00041166077007004365,0.0009105968346825172,0.00010862468569738937,0.0001430446459774054,1.6966081162417268e-05,4.9212550662813825e-05,3.39261468695895e-06,7.000248395745701e-05,3.673318504193723e-05,3.0012304281790136e-06,1.651604976782295e-05,0.0005087003064608853,0.0003562541970840577,0.00013218364460416965,3.0206609262561912e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025010112616663083,0.10688635037405514,0.014062608547379507,0.041623392586225716,0.00014438130873339894,0.004260661748015648,6.808566121341286e-05,0.007656176826343564,0.0003273294409631422,0.02637459479624993,0.0036689046810522985,0.003976861459318193,0.00120319917046241,0.0003967092284566931,0.00013195290150069816,0.00013535371159301146,9.322891575624936e-06,1.3287212963231099e-05,3.0820234220296783e-06,3.4662091603632206e-06,3.648710675818734e-07,1.0719822125193623e-05,4.366686125800712e-06,1.1669970094718707e-06,7.1882192718142335e-06,0.00014996913665377143,9.075379243439485e-05,3.4455917712228334e-05,1.014201438320761e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10830209808529001,0.022960476066138824,0.010933573165044619,0.0017917768608706197,0.0035054587274085947,0.0009235389056925225,0.0014170634365764379,0.0001315741867184972,0.013280929178461909,0.0017557653653845762,0.0029013601282126267,0.0002651158713584678,0.00023605414620919696,4.463203763460655e-05,0.00012543531912156958,6.913076402659257e-06,1.9604752803159542e-05,3.398970535251067e-06,1.9026264073573884e-05,3.633545522241377e-07,6.522516322049476e-06,2.404691574753315e-06,3.293214798638644e-07,6.61917983313387e-07,0.00011214108890733598,0.00023307669802730135,3.171285495562337e-05,5.09556494043828e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4624722257636256,3.996052896718622,0.11879539974252662,0.5394693229821472,0.03701059033760923,0.4952785305758592,0.02917389931484693,0.009324774912443434,0.002786318846930716,0.024949020083289086,0.0716368763006886,0.0031375571097953248,0.0006584980317070332,0.0002183221699097737,5.164002701185666e-05,2.3341664497564252e-05,4.844264085646088e-06,3.4508740041072627e-06,1.062365715842617e-06,0.00010547931310742054,3.546438092794091e-05,6.242397056377413e-06,9.016873904865719e-06,0.0009223894598112681,0.003670728114900712,0.0003716958316785507,3.991822848037341e-05
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41640581652789715,0.026336100284177877,4.32095518603954,0.11214166001427928,0.5326404045408021,0.03019995279453125,0.002358814428621625,0.0010184507758194683,0.003116927034591613,0.0034678576879447753,0.0006004280318019084,0.00012051953999769882,4.687269638459224e-05,5.086903790196828e-06,8.686863954512902e-06,1.333728916641519e-06,5.124521375021729e-06,6.450057576934398e-07,4.622754175699628e-05,7.920832514174414e-05,5.612074967853431e-06,1.8995930877174771e-06,0.00015008621335357852,0.0004409724282460198,4.3006122469602115e-05,1.1706894092022857e-05
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0945875344301426,0.6178350248359818,0.029374961995744853,3.4169294450958945,0.10875720419741874,0.004310637372138215,0.0017730684407384761,0.024808957636961837,0.06574966417299277,0.0026031679173358357,0.0004782999366145235,0.0002400881504407426,2.7119584947277176e-05,2.6728661583957924e-05,4.399532211873947e-06,1.684474812524428e-06,2.873522805035833e-06,0.00010981821291712601,3.237529762856184e-05,3.4240992856204855e-05,1.534538010550257e-05,0.002630013333112441,0.01576480125970138,0.0009828854167741041,6.661767344806613e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03033454067262209,0.0008667629061791526,0.09973549972422924,0.004622411550333716,8.603611013202617e-05,4.1044877066687135e-05,0.0006946099175697551,0.002209579036077658,0.00011203574467555377,1.1017989852035726e-05,2.0322848599096943e-05,2.049782723334559e-06,2.115124011048408e-06,1.7700263343911615e-07,1.4061347353155895e-07,1.7523362449978208e-07,4.128615474940922e-06,3.921344826629536e-07,1.922209314608736e-06,2.385027162432607e-07,0.0023965354292234675,0.019648722072987734,0.0008910937448398659,2.7228392853517747e-05
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0999450967658326,3.5912845272082676,0.11778810995987743,0.0011767432935339273,0.0007203510307208782,0.0050161887727267485,0.008339730946530066,0.000547710193853107,0.0001334742284433421,4.470132366529711e-05,1.080440466205701e-05,6.737921862703944e-06,2.076119621108319e-06,1.9925767307249487e-06,2.5605075504309127e-07,6.711785545043814e-05,0.00021263670978721727,5.784499457206493e-06,7.825874591249615e-06,0.0002703765551690107,0.0009077498783884863,8.990893519285337e-05,2.0206961608204566e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10424422239926923,0.004625873393177882,1.0393146594012137e-05,2.7260134519702106e-06,9.095861436492214e-06,4.26640721586935e-05,2.3594327034359708e-06,1.5204182690631285e-07,1.004882306032684e-06,2.837272832234561e-07,7.134891388815845e-08,3.6668341696355355e-09,4.683199916755143e-08,3.1856906002047936e-09,1.7850710634093048e-06,4.631422554801645e-06,2.11413389017423e-08,1.3751291572106084e-07,4.076797829322132e-06,1.4620004058496505e-05,1.2748856330624392e-06,2.9282850522172055e-07
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7276127709048783,0.0008035155819535456,0.00031198695351482286,0.0022926242570667082,0.003107867061666436,0.000383823572308567,5.393917213991628e-05,4.9191133461842784e-05,6.083328430772639e-06,4.240173021530236e-06,8.011724812462262e-07,1.0708169551065794e-06,3.5766396733194483e-07,7.239138020807834e-05,0.0001259711819614484,1.0802550541644251e-05,6.447880008586537e-06,0.00024940843246396005,0.0012554910183422696,0.0001123782863951539,1.3833796634443729e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8499066766097805e-05,8.547118454660385e-06,1.8180858075034223e-05,6.0557087135482135e-05,2.462326442520535e-06,6.660512812395325e-07,1.1134114332733702e-06,1.673654923539658e-07,2.189349673775709e-07,1.2251395387075092e-07,4.420833277229974e-08,3.829967898383302e-09,3.504725583747259e-06,1.0101077643209777e-06,1.249627238575357e-06,6.851586535905341e-07,5.673355093049892e-06,2.0296441600287096e-05,2.3460383403728358e-06,8.662048078811324e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86945599893428,3.5179431297682497,0.13512753264867672,0.2753390307110626,0.029331963973431963,0.03368261322337729,0.0032254194742322717,0.007392695286578516,0.0011304641253848668,0.005242258620224316,0.00045847046909530675,0.00352934728141871,0.0010749929672957403,0.00013017284819794028,0.00019951966534437204,0.030833394046073603,0.0043482398162750235,0.00598618000908821,0.0013459599209897366
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5431536228179428,0.024707832697663967,0.07412919902172535,0.06076043501560491,0.010825501089220702,0.0012513460845333668,0.005468962079379039,0.0047339269386423855,0.00045726779915233884,0.0009151759071401866,0.0029999893996757454,0.0013134655418682861,0.00011669350070842022,0.00029813939007516943,0.01175760035209017,0.0034880410446179594,0.0017723261672916296,0.0003522368052562008
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.820631811901226,2.688938098863822,0.09670498742066236,0.17767929683134065,0.024702561780389987,0.020399674800838652,0.0005768366317626672,0.009537180065958939,0.0015580979676643736,0.02159072606326573,0.011704146438307639,0.00047045841554904655,0.0016917038612251911,0.19311174040829027,0.038654789824069016,0.028460280865430496,0.0049583403337490894
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09660230405811743,0.026400865011348085,0.003862433983746749,0.0003478838112171978,0.0002887953589444381,9.717017977739495e-05,7.807759883027288e-05,1.754809825960102e-05,0.003745623888636529,0.0033101545764007145,4.888202477748571e-05,0.0003445049737480499,0.016793981817354475,0.030921673659736526,0.0024394319882219406,8.626008992007606e-05
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0424962612725897,2.34685573475115,0.09384789294534968,0.16680747098821966,0.010000425832877413,0.007061619699175514,0.03006067187645267,0.15392117648998963,0.007694702759600824,0.007362402099349907,0.03146424716486096,2.638115369081144,0.27268461758981244,0.21669887799620133,0.05323521094624262
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08407893631919561,0.004274372295438145,0.012095938878364132,0.004965968114770236,0.00020148494873217793,0.0009926981189760653,0.025319252125775904,0.0005947555514662639,0.0007189344096885097,0.0011331304638435569,0.11736515106582868,0.02960880371982788,0.011476740285091158,0.0007380620552712713
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7282854538204713,2.6556375583679515,0.08561736657682095,0.08544776449032732,0.09000667744119473,2.8989478089712204,0.08160760199486039,0.08311304105081807,0.08878826915436155,0.1936117445047518,0.0430797888713083,0.031103380337733494,0.0021017310318880433
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08184711836159309,0.004090632004561279,0.03434872084984941,0.005020379878093673,0.07959560198490268,0.034713355271078994,0.004512317552868517,0.004448646551183044,0.010325436622639295,0.0016727106651331924,0.01620025985006035,0.00035189830428961066
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1816014923272076,1.791292568811377,1.7596761699877734,0.16671785879874684,0.008919849954680759,0.03182321499674812,0.009914141022811074,0.03135728101092647,0.00720910478599307,0.00492637914770791,0.00048147764023431794
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02429923828905367,0.024689899435558216,0.030772014582034712,0.0004688223513837908,0.0028322462919210256,0.0008056127481652631,0.0008647583689200822,0.0003584918910649604,0.00013921016571116773,5.184646656442027e-06
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023044209074414956,0.009495551052331352,0.0042865577624613405,0.0005716022601800486,0.0001820517760950935,0.0009201012620727589,0.00016065443271173763,0.000496907403442659,0.0001733700178605524
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008830417283455017,0.000153247137386181,0.00057137132301599,0.004162856687968786,0.0050035455230035275,0.001759418223525655,0.00036623814495584384,8.429874933146841e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7532932174339249,1.861642144820566,1.739009715975097,0.026298208298362852,0.007748633085975759,0.0037399249444380472,0.0003132855491518871
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024008493395937025,0.02342365030686544,0.0009470381762890501,0.00013298417205764856,0.00038123928620303893,4.127164165712571e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024181687865592938,0.013811515648316286,0.00454635756716848,0.0005541233415449209,7.382973020075845e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024717752728991016,0.0002493625600654692,0.00034680980748436063,1.453795862249585e-05
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2781076303190595,3.133622584091679,0.1681728563092162
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5091164227746798,0.06924630920388086
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6409180983024316
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
