 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,C23,H24,C25,H26,H27,C28,H29,H30,C31,H32,H33,C34,O35,O36,H37
N1,0.0,1.6701892270615017,2.0075744585947097,2.981910251444728,0.10206695188458281,0.17511986647931804,0.011819924199455878,0.027181204923275026,0.015380891742001301,0.025549301115860693,0.01515920725123543,0.0032364851971410646,0.00014965652359688608,0.003969727146466831,4.218075575379565e-05,0.0020575327205733795,1.1989821285252056e-05,0.001074035163825579,4.840292127639145e-05,0.2181070432048302,0.04885500376402101,0.019636340731330915,0.0030522467301183215,0.000442162366548704,0.0011962305092371034,0.00016327279665850902,3.3763885681104e-05,0.006447152623093616,9.903752783257946e-05,0.0001422861688220589,0.03767982373271361,0.015004101120690061,0.004373031291525109,0.001159604116166918,0.00032031406878096913,0.00025906292832693356,5.35266910423049e-05
H2,0.0,0.0,0.028941952345731492,0.10445921250548307,0.03432908709035232,0.009352004302923933,0.004930012567229136,0.00021729485523391823,0.0005986243672642111,0.0007877507939504369,0.0009393682239482448,0.0002890736186762499,2.1485209145799544e-05,0.00015629417571205728,6.772177201241902e-06,0.00011709297611761649,5.587055305067423e-06,9.349569468830587e-05,1.1177341687984566e-05,0.006393847515620554,0.0007626071570292492,0.0015105435420721403,0.000489987490718935,3.4556238476923795e-05,0.0016565105610614195,0.00015090437555453917,6.111319500701207e-05,0.003843897979123545,1.8588786715012517e-05,0.00030633141845726186,0.03199734935390852,0.017654245570527305,0.006536347079759253,6.326679541013291e-05,7.634520802968225e-05,1.8886010585417168e-05,4.16119792023828e-06
H3,0.0,0.0,0.0,0.10411672241818726,0.006370901692130948,0.032759127622923434,0.0011665751490632648,0.002026276898892343,0.0012124823970618426,0.0007251602419474645,0.000244501804282482,0.0003546515601101641,2.1058118642613977e-05,0.00015577820434287126,1.770894079378138e-06,0.00017044403708144085,2.9914891976901004e-06,0.00013550355843561235,7.453681434066439e-06,0.007514577390615007,0.0018447312334921584,0.00038569734632187824,9.035568427484542e-05,1.838339872928252e-05,4.533151824837045e-05,2.659960716577814e-06,6.498571424096156e-06,8.868534966766095e-05,8.154266974313984e-06,1.4202485105974105e-05,0.0006626340054622926,0.00014452357214111977,0.00018798635414563059,0.0001844255164950015,0.0007011259165219386,7.773286967205362e-05,4.609675241074029e-06
C4,0.0,0.0,0.0,0.0,1.6220439031551013,2.752763404099748,0.0833994434834775,0.0860340310262453,0.17117390673547903,0.03625036823660317,0.0013396967107481839,0.03488603711257671,0.0005910515068188182,0.0038748443880254058,0.00011665102124513993,0.004263734708889841,0.0002094767287255106,0.012919278625840025,3.752156277214702e-05,2.4693559248964183,0.287403130243891,0.1910481283533731,0.0355300520014179,0.0029671724137554367,0.004608960558231234,0.0012011688930237963,5.061149977847457e-05,0.0018989107386173376,0.0001845917866101221,8.192951728358544e-05,0.012480853641248651,0.0013844330171768338,0.002350574310475251,0.0030850741355956113,0.0007911842992386897,0.0006606267302397689,9.916005523569194e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08640781256094354,0.03178722031413761,0.002264877091055384,0.01655490635146406,0.001613505664442072,0.0001555120500924545,0.0038153893791872395,0.00032089375960286937,0.00043720710162320486,2.0791072776749076e-05,0.00042508892049797353,6.598176505301367e-05,0.0005846192778480308,3.3402120345193964e-06,0.1180239728809429,0.02795460243634118,0.019538996764393635,0.002893114357805704,0.00013979157058519043,0.0006566863131546308,7.968598516416847e-05,1.048105844114744e-06,0.00027134772642389837,1.582398188815226e-05,4.089731131085017e-06,0.0013229129662494232,0.00037964353258312933,0.0006521484383874565,0.00021128793784730426,2.8148779923964362e-05,6.22388324984513e-05,2.9436406628224887e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7710931159603003,1.9632712220351936,2.74862930016635,0.2287370617718254,0.01352416341253182,0.2421522958642691,0.015785692294137732,0.0347555829256056,0.0026247733123674344,0.03435823399656607,0.002666032347779179,0.020302538356053598,0.0005223292070222207,0.17630592456530877,0.04041887642289395,0.02023470420560028,0.0025850154910403433,0.0002069253231629098,0.0006109566341190725,7.07389640250966e-05,1.220180472583099e-05,0.0015097207450794625,0.0002684503139924743,0.00016804143866699928,0.015055544488986883,0.0004544439859162086,0.014526799449579686,0.0010142510418056916,0.00019265142238085453,0.00012173417514267648,2.8872193621021225e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02487134762108023,0.09257111487656333,0.015374294058320137,0.003837223445166682,0.026258775621480934,0.0005799143941747076,0.0015682671449441798,4.360132904301928e-05,0.002769290811839964,0.0005190083017927449,0.004220908188478978,1.935098569849636e-05,0.0040163594672482095,0.00111708990502013,0.0008568606258474443,0.00015717809496917923,1.1226679421882935e-05,0.00023635597820725884,5.647231381566975e-05,2.5256112476945702e-06,0.001132298071666371,0.0002557115659509446,0.00014603736477747375,0.011810484456344694,0.0007175959599821091,0.02383012830822695,3.928177008294398e-05,2.30364445932274e-05,7.350710015674444e-06,1.1540213546989975e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09832928655840179,0.02412176206813843,0.0007298141593512497,0.019836826188768253,0.008132516942568557,0.0026966982151137575,0.0007195950251128735,0.0017604552367452841,6.939633551517055e-05,0.001958293488154572,4.430620578088629e-05,0.01656050622332783,0.002588973982634246,0.001892813691277695,0.00013782666808870303,1.104524002637497e-05,2.6193815817476818e-05,6.283169301291025e-06,1.233530059874255e-06,1.8824548810636443e-05,4.674675702087683e-07,1.1431406579109904e-06,0.00021131218351055914,2.0123735686494726e-05,0.0002634122120446225,7.813144091639579e-05,6.80525100910101e-05,8.588337503057097e-06,2.1988017682161853e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.735769216120325,0.12806207523279722,3.61807664501311,0.12562603950409335,0.33144586086028716,0.026450314085632698,0.3288357853443102,0.026498651315545407,0.30262915276074137,0.004037117370883969,0.027505048167413754,0.005529946059777538,0.004523233386132891,0.0006620260426948854,3.948579279622333e-05,0.00016643188568135625,2.255040198817504e-05,1.6271171545678698e-06,0.0002811597913359165,4.946610747080804e-05,2.56633475117507e-05,0.002118211939383413,0.00010968949439993381,0.001851919509495703,0.00019179050782533458,2.809196536955605e-05,1.9336069328704242e-05,3.208987058411772e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0239533100027773,0.3279805615992242,0.02859891472033027,3.863237404812147,0.12883495236157372,0.3137100844007894,0.0035734474206653433,0.3320453860041712,0.027106954777949555,0.007686291761050401,0.0017688664328335685,0.0010728777821857605,0.00019147809064308519,1.5338001737585927e-05,4.806841637608472e-05,1.2016913954693287e-05,8.584295272395792e-07,4.076345507124379e-05,4.279773669679798e-06,5.912553246889551e-06,0.0003893143551805811,4.9480042736527174e-05,0.00028838615775372833,3.329681851910182e-05,8.572020957386961e-06,4.404658783402349e-06,5.231186978038593e-07
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02837471848814599,0.0015200534108827934,0.13017430498500282,0.008315090942040637,0.003854251128648678,0.0005099272869466542,0.027198856443157338,0.0012300027314904316,0.0005176491569387487,0.00010973542283798654,5.8018700502815435e-05,1.0002988846569139e-05,1.6162865168478646e-06,1.960933620814842e-06,9.004983714255843e-08,1.7632957538538108e-08,6.978857536754646e-06,8.971423410830681e-07,2.103842036138559e-07,4.8995276682672895e-05,1.5131776746057923e-05,4.170161523742166e-05,5.2356936466324555e-06,8.493635803574762e-07,1.266696038171311e-06,2.0052006521886767e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00502170490634,0.3153462760632125,0.003587898279791224,3.847925351964497,0.13138392611417093,0.33256589743747816,0.027282012340046125,0.004495290056146489,0.0014970255943886346,0.0008101700204692641,0.00014055523764100464,9.86416202175544e-06,4.8778421223028e-05,1.0954736282542399e-05,1.006158554917036e-06,8.637165282954218e-05,1.1158361381324866e-05,1.0870037015608958e-05,0.0007938108068256122,2.9662990256529298e-05,0.0008057957354208334,2.333364838344454e-05,7.70252527537707e-06,2.8729395148280323e-06,3.198529732184596e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038777054289675927,0.0005179781709945264,0.12593627688105635,0.0082460914918705,0.02699931744805495,0.00124263372106026,0.00019883945229604016,9.203437126403813e-05,4.825799492547134e-05,6.68068203490968e-06,5.933750244491165e-07,2.0677740899532893e-06,4.418257706362283e-07,4.1776115899949673e-10,3.6845140225505446e-06,5.251538368611364e-07,4.0833185255273463e-07,2.684038466505001e-05,1.7024185647862566e-06,1.9195174986608166e-05,1.7434875929644988e-06,2.710475136558088e-07,1.243782770110613e-07,1.1826766677103251e-08
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.010002203651849,0.3336956965684948,0.027693754829065886,3.698369254196283,0.1267294024600767,0.0010823689954118365,0.0002822858642474585,0.00016761150655691948,3.254635643995529e-05,2.638878790373056e-06,9.580246840779072e-06,1.5024512773909038e-06,1.674092515724368e-07,9.744647774201365e-06,3.26601343969557e-07,7.136610460367621e-07,5.1501166746348304e-05,1.1691424757653834e-05,3.0383943913969702e-05,7.712929541797697e-06,1.7237484680604487e-06,1.1454923316001064e-06,1.702274106119006e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027493404677462085,0.0013760903660506862,0.12667652100348525,0.008008052415199085,8.66212577890213e-05,2.663043824535638e-05,1.991077697049981e-05,2.548115116685068e-06,1.9205384971243689e-07,5.847436062023093e-07,7.257769363278044e-08,4.4234549356758635e-10,2.9721023553364034e-07,3.95471324576846e-08,2.1501865621331717e-08,2.135549459048036e-06,2.2042492986429352e-07,1.1075653438830102e-07,1.6968740279565964e-06,1.589148300729093e-07,1.669593945319292e-07,2.065111748272841e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033107282801706,3.8506507961500627,0.1255153962637745,0.0008561043714052641,0.0002546462806638783,0.00012636201833786387,2.6954450691937804e-05,1.5854313299978884e-06,9.049923771445312e-06,1.0926092441909674e-06,1.3928419284603422e-07,2.4233291463310325e-05,2.554931521014936e-06,2.3839949144788264e-06,0.00017215728218296367,1.2019774990990051e-05,0.00017849719077744908,5.7427629414352754e-06,1.2679943813126426e-06,8.433727726533946e-07,1.5439773548564517e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12792671499004338,0.008010679816077726,7.21675794970178e-05,2.4587415428989345e-05,1.0005492810050143e-05,2.3007308671552096e-06,1.8313059202412774e-07,6.462046442390346e-07,9.188817484684364e-09,1.1840290969900025e-09,3.818017053403011e-06,5.013293089550785e-07,4.001378317575188e-07,2.8032493044616302e-05,1.5554446486376605e-07,3.3896180606562964e-05,7.058487978550687e-07,9.396725686450225e-08,4.690972832399609e-08,1.869694843392722e-09
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.010207724915023,0.0019326551272682846,0.0007436413072004627,0.0003505679826240615,6.396360451202399e-05,6.019050002414872e-06,2.045409772030715e-05,6.8829891259891696e-06,6.22145352791037e-07,1.1711519718765606e-05,5.520489891885916e-07,2.6755447011250766e-06,0.00015337142625254652,1.644038374370993e-05,0.00014709712334060043,7.335857255319489e-06,3.0989194195890635e-06,9.036584544541704e-07,1.0957508067566124e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.312268785364395e-06,1.4645080416153533e-06,4.5981208240952753e-07,6.858763756945052e-08,1.4620152644084783e-08,5.5865834180934826e-08,7.954445990776549e-10,2.8278808184012405e-09,1.7502175841954681e-07,7.992138284507178e-09,1.2045578534625179e-08,1.433862214073045e-06,1.1707182778764036e-08,1.521094575407389e-06,1.7085698633678703e-08,1.2441015773134723e-08,3.7176245415437847e-09,6.750831005319924e-10
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.819025616769652,3.207307359470413,0.26652147175410573,0.019125223542103997,0.032647332111454846,0.0035430015714035257,0.00028219781369620556,0.02813479255163892,0.0016605770037831924,0.0008529860014614421,0.2291385279627687,0.02340967971151109,0.011022674971665314,0.04220999246806975,0.010302961342820327,0.007142748360503645,0.00114616140052326
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5315878725800439,0.09211312137523765,0.037267501806685144,0.011449196732369257,0.0013198112904263537,0.0004738227572665954,0.008308259930899398,0.0009179264640390983,0.0008231416812058967,0.05808363178559012,0.0116516988261125,0.0055487463322045905,0.024953806920519184,0.00471052246184657,0.0033653490793604593,0.0007959914908387544
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5355208040296024,0.09145499952372993,0.21062723590768864,0.0225795073730366,0.0037243380642828505,0.20141787830712501,0.011847700578461628,0.007865371872415983,2.858201890899334,0.10039587333512823,0.09114122455191698,0.18612899320863777,0.02864841575896336,0.027836852244683505,0.0052280176013000945
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0652394172662834,2.40176771310144,0.08179428302622749,0.09265764150758193,0.18842145996306014,0.004347930236898279,0.0165050343839106,0.2278348688514828,0.010341097588958847,0.019949188409221996,2.5972852507331092,0.27317922685508167,0.2123367787509436,0.054313901219723904
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08103494687747659,0.0017660272373836161,0.01061547444637756,0.02124463894785411,0.00014101625976326027,0.0003480418323447143,0.024570817841594428,0.00024365779438295654,0.00013167476892883556,0.11013126674548102,0.02773697630145988,0.011609394185150279,0.0007377036010440818
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.065437739346831,1.6980348389653217,2.748315495505936,0.0803726654474346,0.08142062287596485,0.17568420439663338,0.007272047862880493,0.01018418016688627,0.1948066881907512,0.04194173890184748,0.024691632471497596,0.0018871056865982228
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027004258129157854,0.07620949823282985,0.011579519673233563,0.003521139662545414,0.017571269309950788,2.6523578957826643e-05,0.00024846479556095424,0.017574148927336886,0.002691849058165552,0.00681735580494125,0.00014650002165472742
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08174790188692527,0.019313704169823254,0.013347684328494758,0.0041113400208012685,0.0002251148415102211,2.228209853338825e-05,0.023742476038352,0.005580639708452018,0.0016706619498451092,0.0005012209556034541
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.968362223247009,2.15596979238468,2.7402867796781574,0.07794804857246174,0.07601400751598009,0.01135741213491126,0.00362885314237453,0.003075840297518062,0.0001455151398688237
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026049269793439356,0.08411573719018839,0.013426677999623493,0.00763111700940855,0.0007717235207265194,0.0007557671464195614,0.0001420878803481962,8.920955846036804e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08097764166278942,0.011284230245784066,0.011901575786360086,0.002090197988160236,0.00027166710713666387,0.0005912499808247151,1.5192240750305785e-05
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7359375976347937,1.9260395212797878,0.016579839840331678,0.016531952882159973,0.004149587239667754,0.0007540748724719215
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024942519522223927,0.0034382941856927474,0.01332979543011703,0.0008356352550463741,6.627657618851757e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023749964466095452,0.0014320227543253017,0.000909100145318531,0.00022428533256779737
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.912549505009476,3.0757216084301433,0.1614834098175898
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5042491914154038,0.06627407494541904
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6707540407725978
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
