,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27O,28N,29H,30H,31C,32O,33O,34H
1N,0.0,1.0198917831884857,1.4693067531244373,2.1221084804235173,2.4500832450316405,3.319558110835627,3.0470897429580783,2.4024238107022327,2.803739619219134,3.3693019655688414,1.473503861864112,2.115299559719765,2.111988333707231,2.4626141837035345,2.755129212550948,3.650785280704911,3.9228932256738913,4.939050674649072,5.019518266826193,5.705352004398855,5.838246542561565,6.734310816055158,5.464514701598252,4.489973337459073,6.223937587550483,6.125580395115708,7.3490403883573014,5.51306567008253,4.5293793359686525,6.228113245817913,5.9654514498277695,6.030160186451796,7.104316073677565,7.771200122159643
2H,0.0,0.0,2.013351622955525,2.8248575426930858,3.0148299713614515,3.6690184528620646,3.8215850582770137,2.803184154661577,2.807544582835631,3.842360268132913,2.0461106271333236,2.273292111676499,2.921971062981204,2.350574859687095,2.1650619849389665,3.666115545070459,4.183147302156552,4.754996195882247,4.658339279922701,5.446656193262702,5.740821695812317,6.433300010456894,5.002677165801348,4.028291719254529,5.794116200764497,5.466542121483581,6.686808560513997,4.7205100861678995,3.735727573020451,5.379157910026783,5.944156793637889,6.2105808489506185,6.965545572035722,7.718452041442078
3C,0.0,0.0,0.0,1.099217409706992,1.5736657655691269,2.2378437059886935,2.1946757086977433,2.4448312838519057,2.8916604405932875,3.4015203881473934,2.372218308220565,3.2901612205399715,2.86579909846091,1.5322960891655673,2.4175553418465796,2.4397674114766428,2.5442495155326745,3.8296791515103332,4.071209462350465,4.782430215957378,4.857324146473664,5.7813262450888,4.916355010855841,4.105630400170123,5.7429306153923685,5.703539270473172,6.883807778048281,5.28131434950806,4.3392554435411705,6.048004308289787,4.654021261236601,4.603968900669633,5.8580670741089635,6.44858436124623
4H,0.0,0.0,0.0,0.0,2.200009694401165,2.8470129065391916,2.324081813452443,3.2877886184564096,3.907107343483245,4.0950861355612,3.057459354577475,4.034016646646597,3.2060421298106965,2.147940104572688,3.2240879452995315,2.5476307970129732,2.300904774773743,4.002896748994732,4.508677295398747,4.77658984733406,4.599918287434373,5.807064784627568,5.034636852974582,4.2436087254880235,5.722291100173647,6.064931962581709,7.210180827719447,5.865808312888136,5.000622163796924,6.719849596351105,4.6919991118937725,4.449964934993862,5.991378407953834,6.507118508423283
5C,0.0,0.0,0.0,0.0,0.0,1.0950372336275636,1.0961799589959416,1.5375385495097074,2.1769249172919456,2.205990064335687,2.387628277063752,3.3705750082344195,2.790136319318668,2.559968006140947,3.3076237196489755,3.2508985780419986,3.1610809301411176,4.486059242728309,4.597488897956446,5.745008620168254,5.885519722521907,6.620790864103377,6.1097704926472725,5.431706459315177,7.0262875375189315,6.7319252436854065,7.860872654377299,6.197590914966827,5.247342791869632,6.820368696729757,4.9319333629895095,4.702832268398485,6.062842606207,6.504470292276439
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.7648038595700044,2.2136679425723353,2.4425316313464758,2.7460907019307568,3.3517703359464055,4.230417289052734,3.8553374535288034,2.607721587291663,3.3112500952263875,3.0128249963688916,2.9455393036154187,3.9995673121283084,4.0289067903906215,5.418898656924983,5.656815204366789,6.169567491894001,5.968060321828477,5.460740283166614,6.945585017228496,6.474617746969079,7.523208922054778,5.970030103588165,5.091064489612025,6.520450607378607,4.229983045749387,4.026602574379746,5.256047770790252,5.644090037393927
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1788145651579303,3.0616960920357115,2.432715189548769,2.841588371955111,3.8983978641893997,2.8171943501916132,3.3850872345633896,4.29119587364155,3.833879848923535,3.459256381525628,5.124037297119953,5.401665430132505,6.337767418519651,6.312313605595844,7.220072108338451,6.823522091010519,6.148608177412425,7.670984957541758,7.591207604186302,8.707563290329974,7.165663726879975,6.233739441091718,7.8343004590227485,5.369386030714997,4.8977985962773545,6.564303209458604,6.8868483110032415
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971165237436802,1.0957161302953755,1.5376880061648341,2.220587917668794,2.176858548297602,3.400878006356161,3.6835993708542523,4.433297870675815,4.55686319639693,5.584792202326901,5.464619787705918,6.808740479114085,7.076460268448026,7.686122057057239,6.913618074395752,6.14280029290921,7.854734238299555,7.327604089520593,8.486130107953365,6.542656244512286,5.5419418741061905,7.0386251182563475,6.1998474874887295,6.118465471524508,7.223299265168252,7.730015392023795
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7756751927256875,2.1717916621407,2.466746361081615,3.067403316208594,3.3785519467891714,3.3212541240077575,4.480986887282216,4.809015411747792,5.423486599265697,5.091986190081915,6.672291720704343,7.104703337118397,7.473846238982622,6.692102348258551,5.986669949020646,7.689937453522434,6.880364361544779,8.000320801348458,5.958563679200752,4.9826034107997685,6.329407646471666,6.114578894502654,6.2227947668221555,6.991999254329735,7.5587247364073855
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.219069751731018,2.740736591546048,2.4660342480578117,4.428500108337921,4.750546295127714,5.355852153573359,5.3618165146710295,6.491483640626061,6.376596950917097,7.781796590089859,8.020895164337992,8.630921672587151,7.969576407385639,7.219688594935012,8.916819009272379,8.37440361847743,9.515328392859569,7.57524164176741,6.583976040953331,8.0247922147781,6.945132778381604,6.747246012990625,7.945793032793546,8.363334334553215
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947942051995276,1.0995541186047217,3.544283966906647,3.763724306438641,4.7247005284604855,4.892583029774517,6.001123844010775,5.976086215597005,6.9640765312312265,7.138216471860545,7.948625302223241,6.812939559263458,5.880422210547464,7.632095733881752,7.344085375531599,8.557181890811416,6.584847003932391,5.571022685981902,7.172829918342662,6.857430290466827,6.818713759054785,7.96711516196263,8.560713992925395
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7679642091077368,4.23194185796034,4.157083782235146,5.513770764706008,5.809776936564324,6.695759796530579,6.543171854092442,7.595069784819312,7.854856914945391,8.563188936318982,7.260502224515434,6.300432504065826,8.066823717906416,7.638419113386036,8.842425550025355,6.745287864058773,5.748942272440128,7.241260894434819,7.662087009523588,7.734423078745224,8.700751919957616,9.349602979912524
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2664497157287755,4.683287015303386,5.304196740241158,5.287241107525034,6.675340603852497,6.785706099940006,7.603923623153032,7.639181556569512,8.620891460791242,7.524937550260638,6.569878334776226,8.277762157887013,8.200755673756424,9.419381328922098,7.536648639965289,6.530813550568462,8.179016380088347,7.429720227372835,7.233687558074008,8.61601609258196,9.143977655843502
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2355421443784311,1.3567473588585663,2.0466615389387286,2.493585316240164,2.611377234857787,3.458464050123737,3.775122781225361,4.411315307922354,3.573385121840107,2.9018597811520874,4.514424896124641,4.238916198332559,5.397981542355661,3.864514736469765,2.982946712210691,4.651275048031424,3.5985576402174617,3.909257372924661,4.674832401297628,5.400822978365078
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.284704716771969,3.1707652224829967,2.882089447089874,2.555608943141088,3.687151992850251,4.269735304803448,4.537511457702945,3.403999894800413,2.7325631797817205,4.403471683950646,3.6602831146464916,4.844243443475016,2.955903517983158,1.9718303417560905,3.648858323902468,4.181793986525518,4.756862921586634,5.010611874355742,5.84501560385167
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0146192839319685,1.4576692189727063,2.0850454258369453,2.5121709299221675,2.6915308029189506,3.427902577007007,3.162714171881344,2.8208971202113067,4.047724517422689,4.049505500200235,5.066320752776997,4.077260163840638,3.4369672630190093,4.9055380956256736,2.3976766942692125,2.687377951654804,3.5903079459069644,4.266078289693816
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0938670728389894,2.9022274834043214,3.0568629791738524,2.9113782321408017,3.913876303405639,3.9274757906828044,3.611807017650769,4.683118375083425,4.952501249830001,5.908207607054957,5.077056615641167,4.450016811002269,5.906665218348475,2.438890605138147,2.2428343748727992,3.7706630072138623,4.250848177084527
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094696344077728,1.5518758276187692,2.1582578049337693,2.1708224023686324,2.589842608263422,2.779674636088411,3.5052955611420122,3.223941272942968,4.025054877360887,3.512748021550402,3.1977928169440673,4.2447671082961405,1.5249856973110523,2.427790152352114,2.3811120950457414,3.21748414966006
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.176269659611522,3.061891009136519,2.559380880547097,2.772582882634316,2.9791121384896733,3.8081562422184105,2.8648385316262166,3.668489084429251,2.8391936332966727,2.544537116915611,3.410825009032129,2.1454673450204087,3.1754507953059656,2.5657893131517175,3.484450184806882
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097222501811945,1.0955920524315497,1.5401398134436355,2.182459141365262,2.151355285984353,2.535990412165398,3.151128710906387,3.3843695016618116,3.4018118211154293,4.203705360476175,2.514677409615277,3.3851029579407887,3.0045311119959464,3.831323863078728
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769806212121363,2.173146590214553,2.589070518267894,2.4057445218495737,3.468897924480736,4.0392012835571585,4.353879992568797,4.288388702335986,5.228905253768597,2.781261420284618,3.3046870029772415,3.4738785826322274,4.121664004867607
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.156201502227578,3.0685291748357324,2.5304774034226534,2.657676080965194,2.8395148787245246,3.686638308060974,3.946814263301898,4.3253788990819215,2.658972521538495,3.6530680002468334,2.6349094549870125,3.425863682592846
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947016446461206,1.0945076546809283,1.532888686278397,2.4092815427491843,2.4463240305084795,2.599260985109322,3.3686840494952746,3.906276598293332,4.792514722139227,4.345593057559243,5.2468440425092915
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7715583281272225,2.1910650293661424,3.2792277248288264,2.567088752046033,2.3441149343534073,3.5755139848016197,4.234267437577178,4.96869916455615,4.923633643727839,5.816228924500196
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1206722499610255,2.584042076404309,3.2373653222784515,3.537736255773278,4.0824803473228295,4.664082829028755,5.482499241800926,5.037268525339157,5.876204644709376
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2254932249930837,1.3634257260043419,2.0773145382166445,2.0346490480196557,4.481262958880677,5.563693684868573,4.563797941832699,5.521398444429818
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2818508321693036,3.178659406483583,2.506505074566129,5.035393502711936,6.17546969669182,4.817239462442153,5.715142733315024
28N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0171031458642212,1.011509638831286,4.857814084427609,5.911778865235714,5.024373584344497,5.999113103142272
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7493071217266194,4.615906651870324,5.551462613060146,5.012279081427943,5.9702623768587495
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.455872333291897,6.561482705240544,5.429130127715063,6.381641846453858
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2138136600834746,1.3451220037958211,1.8781151568794052
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255406483720974,2.301027456938848
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9768127499489001
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
