,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24C,25H,26C,27H,28C,29H,30C,31H,32C,33O,34H,35C,36O,37O,38H
1N,0.0,1.013223615125168,1.4557993286543445,2.1131908860237423,2.330207025122358,3.295152682351739,2.7203448835906365,2.388716180679172,2.9993568907283166,3.260262126130475,1.473368844622972,2.159510021459229,2.116734472621628,2.574864198850251,3.68704910511454,2.848116482532414,2.3992374283488194,4.265512526947464,4.739062388656238,5.214956675259858,5.201142441350781,6.20798741821581,5.403913809023506,5.965008796067059,6.19690410663916,5.567077519564588,5.507172590240733,6.607260489306946,7.26195841191812,6.251703974303228,6.689857611823401,6.741727936883426,7.67751186499593,8.084735245402605,4.766343670582208,4.400255741430868,6.0774503303819385,6.50745656027711
2H,0.0,0.0,2.116326821299913,2.583909939236173,3.2793197175285496,4.165544097628497,3.6991696980296127,3.2739389422661147,3.7144676366381217,4.169886478661237,2.1311221325889576,2.4074255800948423,2.697200224640287,2.8244190922817047,3.9583032866085173,2.7871407608572842,2.1488666957558546,4.061497145300697,4.600637841853411,5.146720592976968,5.071549883250359,6.061494128768597,5.615100749883086,6.264467956361047,6.397569126861748,5.90615701636293,5.764826963544494,7.07859628710908,7.757689316435414,6.764941781697778,7.254820840395729,7.309180218498703,8.346163620326987,8.75816337574796,4.240532464989518,3.686529892747125,5.545883730398353,5.853852131488245
3C,0.0,0.0,0.0,1.0972388854528419,1.5450007631214793,2.202809041642196,2.162371976339643,2.4152298182988083,2.859939047935672,3.372871222471388,2.424985435893489,3.137750078408196,3.2188953983292214,1.5439217857223482,2.416573035144253,2.4727195342133337,2.585720078295543,3.8338223351415204,4.0094317916204565,4.8308460965433255,5.112035363411298,5.780446286045995,4.792859004811395,5.041013677844702,5.1796768598713046,5.142919975809939,5.37005049995468,5.595534508756263,6.110446701953531,5.692575040796942,6.2768651359018035,5.903012561101028,6.808404655136934,7.079155765748885,4.678222402413203,4.669597593098282,5.869171580543427,6.464667747589248
4H,0.0,0.0,0.0,0.0,2.1887994614341144,2.696902936470757,2.3838622391451145,3.364392268116614,3.903687620780391,4.201372052491598,3.320504669578729,4.108402886027702,3.92380095529141,2.109259661872085,2.5782075295761455,3.23039255115241,3.4162311983691485,4.4513770713961955,4.418975899565406,5.6158222893027245,6.000132848264091,6.477229018195836,5.618408778611411,5.6801162964701986,5.653068102930632,6.099749382264388,6.402007267129908,6.209821302968964,6.572597501293115,6.602663487748598,7.229973001523179,6.65372266674737,7.501859984630515,7.658456536157819,5.189445490637021,5.1801644543764835,6.289005137725004,6.850685479312586
5C,0.0,0.0,0.0,0.0,0.0,1.0928916311842118,1.095722864175681,1.5408386333445345,2.1713145416170536,2.2067790309505626,2.4387470004559035,3.3092828552627402,3.069466990445619,2.5368250525936094,3.131456014601136,3.412336198403516,3.5637780624183986,4.72528257214075,4.912266469021776,5.340990612099142,5.587682691259836,6.35600360565157,4.878159761845607,5.044496965897487,5.423114783682914,4.886635806209571,5.176076437762188,5.227033059279698,5.728080459717486,5.078500928682874,5.492685865860217,5.245117879402732,5.9164377588784784,6.222347134532442,5.807701375675258,5.887042714798882,6.984836954226519,7.661356811941237
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.7762551278016603,2.2170844586749165,2.43136712926856,2.748475755821296,3.395942940299579,4.125147479835351,4.093858990436998,2.6290351026801813,2.8212764847438994,3.6178641422436857,4.029369508201105,4.724066203841035,4.738480313781476,5.198362474156244,5.606355351483627,6.147348162098209,4.492056968751963,4.3969997295309105,4.782519513630909,4.553327570372981,5.05586012642097,4.3879097507158855,4.777537806367631,4.550804841165033,5.0460736460233795,4.466837134877192,5.060364410076311,5.265311940058672,5.995094242083525,6.285020003945644,7.049965076705527,7.821892020362765
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.184377082191491,3.0602906667019463,2.445492241315367,2.8773549391702935,3.910448774296605,3.1470266514770056,3.435014815152885,3.9364177631825035,4.3932978402309315,4.461309588830199,5.73851743694599,5.881583460270273,6.426493514970261,6.65662108875718,7.436432146741354,5.963709627564458,6.06511968835006,6.409198256836823,5.928722387776196,6.195847542607209,6.145748204213472,6.551789126154581,6.01452743986561,6.338574316137921,6.1219094516734165,6.640489904959801,6.8977968804505245,6.742267649668661,6.731098506362574,7.934441219326169,8.571980879637293
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953558921655733,1.0944635966430072,1.547914306476685,2.197068419583583,2.2045665839079276,3.1855980623253464,4.062421514004827,3.472623636993014,3.3232662407212405,4.774727286787317,5.265718954636847,5.087387123915621,5.043901438391619,6.175681282893806,4.650907856651485,5.188927188635644,5.786765623456243,4.298432255129168,4.303457966102995,5.403681044231958,6.128407224529459,4.553480979175969,4.752834462673087,5.110477231338518,5.815322791428765,6.3430679383709805,5.7654003408369485,5.714057234581098,7.01447941407463,7.635100762018664
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7662386681157642,2.1855076303248557,2.349991623815347,3.021718511206082,3.0815898268550987,3.8926233173871116,3.098787054827204,3.0734945657718384,4.199080746430019,4.744497909427254,4.234834728827632,4.176249055843687,5.317479514465827,3.6792064336382464,4.3256177063602745,5.034378519691437,3.2138981179485975,3.2332436399755093,4.562382233082253,5.394033517794895,3.523165684844886,3.7709974107526025,4.204512231839594,5.021254259107209,5.620606326321339,5.300216398051938,5.398823299066985,6.475666493261639,7.1512270363630845
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.208705183866223,2.8280826433797954,2.392048007729737,4.240096690809816,5.029502836680109,4.550780670239499,4.372592512300785,5.815423652840819,6.306675887887346,5.990299871517996,5.88634293116509,7.07693054694107,5.409161444507811,5.91787121396092,6.608215575798966,4.833237359433691,4.794078548600164,5.925530973558394,6.624181490753311,4.838408577530173,4.811155150437101,5.413473040036467,5.89734930575734,6.468135532691749,6.817966001680542,6.740373354907851,8.062899850687927,8.680784804126795
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1011314651434834,1.099186802642433,3.357904473157315,4.490251887289477,3.3488073680575865,2.7877069302657658,4.720832471231294,5.373657872788403,5.26695802093704,5.042890848445714,6.3388231666419275,5.268385868450568,6.01351028415175,6.48691669536294,5.056791883497364,4.822763103610099,6.509281416037782,7.286428984496618,5.634620534671008,5.8598111506848705,6.33981773133135,7.189962021181301,7.739911816592371,5.328328715553038,4.964139508168831,6.664304307973615,7.115895838050047
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7659153475854195,3.6655047052289906,4.851475449447678,3.2221953260139258,2.475596466340012,4.419483579503084,5.247690400203462,4.788988924823908,4.364340264062516,5.8383861254973075,4.956957051426218,5.918325827770887,6.437939466121847,4.674581839839105,4.237048253878562,6.53397552366275,7.4166898205882426,5.428173594129209,5.6234591118736965,6.3202578876730335,7.266936783555039,7.898322256972034,4.874676745271268,4.435452123529635,6.199355617343579,6.591246259306025
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.362343642323825,5.46481757309274,4.419187019391836,3.796605870764142,5.792256861909654,6.447276842287952,6.33656661865732,6.045813534467609,7.406797487083863,6.325027571091757,7.06991088881853,7.564987758456164,6.008699725026118,5.705804513625253,7.4873625682446665,8.246940717893933,6.490690170713367,6.587047757434498,7.22211181306291,7.965219977399399,8.53429504983258,6.302554826200736,5.815570164737427,7.649719078327839,8.036260446500977
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2268358887607624,1.370061294505914,2.0522297828873497,2.4596648210393837,2.4897848548618686,3.532666519657992,4.0337060077906655,4.3859210827502935,3.598909432723607,3.7725930807033685,3.7665348193604986,4.285631312527393,4.655847600799498,4.568099133341158,5.097304452967872,5.007772467910903,5.793384527419397,5.131783408831507,6.216822963397859,6.439767484774872,3.5241372102303163,3.8573603088619572,4.583247951005449,5.298619260841544
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2832890956161513,3.1595883627622476,2.811101166604454,2.3394061413687246,3.8114722247104833,4.571596579134956,4.47294948877275,3.6873422328460546,3.4010987087165936,3.1481710616637972,4.582282133153058,5.185068606272167,4.113370079154648,4.411134982433447,5.144367097315624,6.041555735804854,4.940875599696996,5.967343591600423,6.010123745653181,3.9948851554133755,4.586718453468408,4.778572815083847,5.585469401259755
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0111237144156437,1.4455288423847181,2.0503519475618095,2.512313041717392,2.8170456762671856,3.419338091827678,3.01581322527435,3.638648468692327,3.721729868153176,3.7163013181878752,3.8607692240424734,4.686281775995669,5.412902668352607,4.751699737065647,5.522892856803269,5.165470297597793,6.3989494011004595,6.757422217665013,2.4143144765457065,2.729443281455067,3.603936421561254,4.282263164547371
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1062839138112848,2.919071990613931,3.014510939300649,2.9537129721026387,3.943746016760682,3.655210275487346,4.489713227026721,4.6675946569439075,4.103579969681628,3.9846945852006614,5.499879408100126,6.296294046146532,5.1912417922247345,5.82279771750397,5.8050537459058225,7.014469167361296,7.464565636257925,2.5486689238488798,2.4041014392176434,3.8786023446758495,4.37608282036054
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943378267933617,1.5586164032832965,2.171711240960017,2.1578452949264975,2.576369965334184,3.1850948079021375,3.045829091147585,3.650993322928643,3.8663780531594045,4.488398755336921,5.193285213405302,4.836563124233912,5.7303148828154296,5.1796967881666784,6.512903073599612,6.8199665765431146,1.5232184424276354,2.430667831608317,2.3841471050662357,3.2168595541341722
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.178134930616801,3.0692292395364684,2.4661843067847453,2.8567998053658115,2.9576739146624877,2.4735495577546622,4.128402538806733,4.577095645084674,4.24709321289458,4.751458230124831,5.141398262718963,6.130707114219225,5.190580095065759,6.478431506598514,6.630380997547342,2.1486578854396488,3.1774314735288693,2.5826426260574404,3.496018184498888
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0976034694049843,1.0975464821578227,1.5141497157403856,2.54500008114419,2.760072399776195,2.5340450984070717,2.7297649351640696,3.829248874571396,4.698342873292393,3.8261512596747345,4.700331721941736,4.3350133028198785,5.702081363021928,6.115401757427803,2.5136569688115067,3.3958740814703203,2.9873554638463844,3.817532325147767
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7607293561370871,2.1428985161863943,3.431785137667317,3.811263642213528,2.596036663323725,2.3293458747117857,4.577340070890014,5.541407090940821,3.9885425005621884,4.670673330148519,4.80267113769811,6.133814259917562,6.680867532961548,2.6841797607882873,3.2417926242713286,3.2969636952729853,3.930617221075919
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.163924214164743,2.8630601224920134,2.8261665054667287,3.255898398161126,3.4898245635683898,4.177736556251022,4.932081355252535,4.461473492163726,5.360731090714775,4.833484404669758,6.180536017608185,6.515823982434692,2.7204687659534215,3.7571339732800744,2.6581133155933663,3.4876999284535697
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.401152484934483,2.160649501590239,1.4019250875484912,2.1551022946381075,2.4351232995414946,3.417568397533551,2.4419893624700646,3.4293707876075636,2.8209859947661258,4.188337928583917,4.618474216306983,3.8878254563322474,4.724293883680725,4.3997652459631045,5.2833167376843875
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0867196771355243,2.400131382764439,3.3893873881533985,1.3934832924048668,2.154314487615145,2.7887110672537134,3.8743951410605786,2.4195488090627646,3.6886753283414895,3.8359548522873546,4.603137456544273,5.577446994525932,4.941444955224807,5.900465685144254
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3926571303914055,4.298375277098138,2.1397276708589437,2.458894872608658,3.8752015765369516,4.960806872147063,3.3958385207193684,4.56440183354728,4.538158617401528,4.362871386622258,5.443987873206905,4.50706604353007,5.4833545768606
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0881656443882253,2.7778782534100213,3.8667858348370614,1.3939321650821705,2.16705521179644,2.412665347091238,3.644036228430967,4.326824329934369,4.860318698776681,5.47882233885917,5.5166740543048505,6.318365751880049
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8660015789775697,4.954922155849695,2.1436189608658722,2.48528398014695,3.3934480681103896,4.508367132105804,5.278062239014897,4.829072662257684,5.255785830226999,5.564127565695332,6.249785086497059
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0889349452412866,2.4183422214662365,3.3974384004055493,1.3996099873458374,2.429437070136849,2.4528568477772814,5.950441242413974,6.868020054895694,6.3342903793914,7.29332172270388
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4065162812107643,4.296837568301659,2.161057786644009,2.6926137278539097,2.2965265587978005,6.6457832534219206,7.61709431725024,6.932828722667384,7.907497444508188
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0857473158769562,1.3980793686456632,2.366555113852935,3.175182771049236,6.156166617977124,6.790618902218714,6.798506337162053,7.64023689878005
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.147027148353871,2.574017358146225,3.5212453142319116,6.980548611322677,7.503781361975639,7.683139768419214,8.478977233619995
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3681712540541153,1.9162788803460442,6.621292230931941,7.399760861506542,7.149366709674455,8.066751568708147
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701770523197802,7.971653701673355,8.727884802843766,8.507201668365054,9.4301503955547
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.306590468819136,9.132497417188953,8.768347731603665,9.719117026873189
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.213334288514763,1.3504078071535186,1.878252925244037
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2545998356647887,2.2913700856780106
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767998596289559
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
