,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31H,32H,33C,34O,35O,36C,37O,38O,39H
1N,0.0,1.0216992272623509,1.0238484165375348,1.4696965161830242,2.0892652425258684,2.4656577415601504,2.465140539370521,2.8555496380355136,3.8077139605726305,4.795459363653488,4.802370776778638,4.487422400464729,4.23625675381897,6.06404435743604,6.894568238550896,5.825298970714475,6.511963918533246,6.504644971843009,7.852801900824219,8.159748806382153,2.4795375299211835,2.7726029452393712,3.6603123697526243,3.9557564232159925,4.9067110153692335,5.003780334052736,6.086030943102634,6.035510413757657,6.285823961719674,7.435653672815024,7.9457922242925765,7.438271511187133,8.520695939779943,9.687845415117733,8.223305403606409,5.4253270053137275,5.518651676577958,6.291462053438221,6.807882386591616
2H,0.0,0.0,1.6072466618797014,2.0308975746207416,2.3025457182182985,3.3437561302461805,3.4042335170651556,3.782897992232966,4.546805315373322,5.475951149630592,5.467137215735814,5.147256570802874,4.86748016359762,6.687478214852694,7.489443640588847,6.422741552710319,7.06091504369296,7.101578871550797,8.412541794734075,8.692099896695646,2.724077906208076,2.9793932967874546,3.7660460759971333,4.088453356784509,4.929282149936224,4.8419317013634515,6.061998524397282,5.876133673367913,6.410540044852719,7.350166944545274,7.970892067217427,7.250513138190568,8.357959715232983,9.54497054851515,7.989412348320117,5.659729515674357,5.95546535114417,6.4278321502738125,7.052680896456211
3H,0.0,0.0,0.0,2.003423922706692,2.892694040807561,2.775778013780085,2.8803064923621577,2.760062450879968,4.229564230401464,5.0469333953514575,4.849338887335384,5.1162838873988665,4.974513062629694,6.396508759912841,7.139180279643494,6.454665650337836,7.223781525187617,7.0062242216511,8.366251820088124,8.758783550877718,2.484292022868277,2.3070968500634077,3.8152316159625372,4.325110322117589,4.8680152955150024,4.886438976842856,6.211123735809259,6.307917776795177,6.461618480021565,7.461368965893885,7.88238840923484,7.382702314146511,8.68065043012181,9.79380976588555,8.52192359231242,5.157428150031136,5.249894251030759,5.879550674925535,6.320408444303562
4C,0.0,0.0,0.0,0.0,1.0971580890860728,1.5573427323143312,2.1307442061092847,2.1700467632753404,2.5955834780539537,3.445243570396169,3.4970887839457205,3.4400855218178226,3.492367084903437,4.678914512166475,5.483107454515126,4.678610093805917,5.478731051409297,5.192128977494456,6.523998362190923,6.898934947882876,1.545229581718865,2.413202396942317,2.4751311741915316,2.6087474689897947,3.8580014463075276,4.218343833008272,4.894077912443222,4.893038398406158,4.949662647625383,6.32675296491104,6.8010988151045275,6.496178620516057,7.375450340925046,8.53675787502262,7.092240489248109,4.4182891264038195,4.422923357831384,5.48311465267472,6.006011347609447
5H,0.0,0.0,0.0,0.0,0.0,2.168834059587181,2.593262422128311,3.0505287892186277,2.690979937580543,3.605883713522102,3.8921206986761243,3.1568757851051963,3.1297580056060044,4.620360911442422,5.477347935877754,4.280919096937434,4.96244599002175,4.905134186291825,6.17246913391704,6.441462401248407,2.182136839642878,3.249694921211425,2.6141593316197196,2.387161556044932,4.062033492186149,4.44450160319236,4.810617107984316,4.5866674653612245,4.841571002523096,6.293708784007316,6.886266541374089,6.530011404808408,7.137982224922368,8.346030524269345,6.679256003450872,4.903430231943534,4.983098929787187,6.023747257846221,6.632777886982159
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0959075205100997,1.0977991347819174,1.5153235393197158,2.5578220231138635,2.7775318007906473,2.5268425740335334,2.7183742841042595,3.8394015099249397,4.7185358280885366,3.822227029713791,4.686757725271516,4.337727235109851,5.709078526634722,6.109495783020418,2.5489570959522903,3.2633482158729157,3.2937960591596105,3.2584871268570836,4.58459187355171,5.190766833618124,5.526303605548436,5.70462333129397,5.291319906411377,6.970016793463548,7.254505581217843,7.305405995327076,8.048202132802873,9.141741997875394,7.852770849355191,4.754239100313268,4.344065746825683,5.925461497221258,6.237580290192089
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7637446145158509,2.1483737476634217,3.4062124212469636,3.7661166733493276,2.64628460106087,2.4233971322779335,4.560346980324979,5.517999627732044,4.0246383367514245,4.710162022367789,4.809822633078578,6.162659569475156,6.43069258662533,3.4266620450341745,4.033046477586639,4.282814249664912,4.208151322436733,5.619490211360248,6.154049819036757,6.563605508431222,6.662885137575462,6.33792322970767,8.024622280618052,8.340134088014052,8.336266081259735,9.06521516947391,10.181732694978848,8.799886407137933,5.819650409516164,5.404885655964296,6.9518698383859565,7.250431815050668
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1606047523960057,2.7370472006896134,2.584239028949398,3.3690640947468307,3.674249308496868,4.100775165848875,4.8211878343620755,4.552409274679926,5.485923710689293,4.845473460323612,6.185432305711979,6.698108332833286,2.63335991484984,2.9765941921676027,3.4960282107863088,3.7024643936036328,4.558980682732499,5.148539391098062,5.657270276517079,6.022895587598511,5.438113668485378,6.992415654516105,7.142079982173146,7.2796656985129,8.218891273780413,9.240978439087622,8.187800681702004,4.390255712959029,3.8530894335342474,5.459537315693846,5.634954242252442
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4060546453420204,2.1649700716805147,1.4014172848466973,2.155707740440424,2.439560530379844,3.4260956747912847,2.4412787274684318,3.4252004010599526,2.8226214015459865,4.193786365034368,4.618094740994161,3.3088013419518725,4.250692012488578,3.4730031704325977,3.058036249373899,4.679834366939766,5.512953664543224,5.235498182802305,5.40890016602842,4.7276442734821265,6.694907458976882,6.9249772876493045,7.244198014166287,7.600186737903406,8.652519425596015,7.366574809099914,4.867913843681416,4.297760595695402,6.176123994892825,6.456729283057875
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087159076596936,2.403980169869391,3.3944827716804955,1.394035641052944,2.1625697698360664,2.7882975060090045,3.8781906182316574,2.418833507495724,3.6531100273432693,4.331033027861594,3.563111426254442,4.425510937429212,3.3435575575159535,2.940566000507456,4.195960165482187,5.185286783218365,4.558844765483114,4.941930536701735,3.860408171508257,5.895737827840519,5.956848917855503,6.565032428183628,6.816688790439296,7.75877925748251,6.749957334835573,4.1388387099689865,3.3902312970570243,5.461973376224,5.6416531630296465
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.396052082455242,4.303092713904335,2.1411969666762025,2.4751406738248325,3.8750904312870715,4.964994022945164,3.3957749850251666,4.512170344392213,5.27737702269441,3.1938700945449847,3.8383926167129556,2.9853651288648724,2.887928276973131,3.578758360950292,4.562836611823425,4.125286506764738,4.711179876179348,3.5138762555957967,5.353161867198881,5.303564974081452,5.951983046568686,6.4586179220774556,7.345305072066003,6.570478240688781,3.2219677065926544,2.355434697682382,4.49874999374562,4.603608167214199
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0886805298828486,2.782396102401124,3.86814126737522,1.395823518301592,2.1602200004340846,2.41629229609542,3.689079837291336,3.8314195550406485,4.429185630861779,5.463292285179344,4.5016589477755025,3.8698579619283127,5.7663706026896655,6.5879710047239834,6.102585920150155,6.089929430737494,5.531964894941703,7.5846533661044795,7.889930862750932,8.20045769679875,8.279725288271763,9.351383940259453,7.875809846575603,6.131608370990639,5.6012035795446256,7.462498207581187,7.783972628569914
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.871026353758827,4.956737237991909,2.1468460024570413,2.4725295537652436,3.397511335422528,4.570561054981597,4.5408491623028535,4.7594578780625225,5.7561280823063194,5.029754515761878,4.450971036826363,6.400557741457081,7.11058762744739,6.834056769732548,6.718481659807106,6.375573011455261,8.347709430456428,8.733855401439557,8.884666451600435,9.033959220773998,10.155016929386726,8.546328364965198,6.862961217810752,6.415495692878431,8.16177642086077,8.527956915136487
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0858345824598297,2.4177980627541564,3.407232290304473,1.3984230206833774,2.37231398582057,3.1752343615073406,4.785682780318526,5.706221823497415,4.29092452768685,3.683736983120349,4.958602249999988,6.018605483991553,4.905472539162409,5.244464777197739,3.98433948803884,6.124197477106694,6.119148438534278,6.963349261818447,6.79624202645849,7.642251360299594,6.69779783870465,4.937549615725119,4.169840862306258,6.237949214290368,6.381340066160283
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3964788369427947,4.29701042452838,2.147086759257315,2.579577607598767,3.5225661868743408,5.332956569235138,6.157155247335641,4.681072714583305,4.149457217432437,5.043315148220128,6.136523004977556,4.806896829374015,5.2841430118456945,3.782573135548805,5.820171418494337,5.653621524943712,6.73522261805601,6.449278964938861,7.155165504248219,6.501173415025083,4.846519289826502,4.025965446341839,6.054164882609662,6.105598356178293
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0899069687596,1.3981325995496379,2.429028554975435,2.446683790620165,5.4679979338561,6.551322160779059,5.2518996525546235,4.468229908543604,6.352660915909712,7.271253912692896,6.375563654427302,6.346225473736665,5.6295087707309435,7.774078696179494,8.024616613758505,8.532988453802389,8.272489288165927,9.265040805923382,7.839250145452967,6.70780811836879,6.116211084596079,8.059197470281495,8.347506771480168
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16102843069876,2.690618736649728,2.28969161268751,6.391011271249303,7.500381455549692,6.183262559877689,5.350930432270898,7.31431820868914,8.202325296658735,7.258191886695843,7.123435311289492,6.520898062144529,8.646157085923761,8.943068812828091,9.418443887644539,9.017882606252014,10.00890904792143,8.483348147807314,7.754377780030541,7.195469058734018,9.106291899721356,9.419147129355695
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.372005200965436,1.9148919773696784,5.618616536443622,6.656215160356979,5.1644071148662505,4.390400200542866,6.002214100992532,7.020890729474186,5.83517707007154,5.956850661220142,4.930417592022938,7.0995398052907115,7.207968045571844,7.963534167001453,7.564712497970527,8.442567200787138,7.270189069179439,6.194679395088006,5.513209318997578,7.519716701567054,7.727906656178015
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9698066159740046,6.871190162753306,7.911522870388726,6.273793247157306,5.45501139470686,6.952417819113087,7.994721273083284,6.536135517518478,6.638079841651265,5.541654718325593,7.643846421422658,7.687714969945948,8.603639991161751,7.894317774249505,8.647258002870789,7.594170515751915,7.128145212685904,6.440806236526525,8.406591485074902,8.57779565966727
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.404924609463566,8.496292591397673,6.852454780326838,5.9776266710430095,7.633082848584312,8.640648725423723,7.206025824916291,7.189342558923529,6.257492582092929,8.352681887748874,8.475918257980828,9.298906663182967,8.514109545317162,9.298472825892025,8.096921118105529,7.923324312856373,7.283601287106663,9.223269857767193,9.44090726796902
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2333810362163735,1.3531945335552757,2.0515136004185095,2.4696989271532503,2.7649373138934017,3.746259551509511,3.937129534556291,3.989272899214126,5.0520810225755595,5.485302590089391,5.120018644991958,6.2625246589603805,7.368624425844665,6.1685047565102336,3.0082932421501147,3.271521897496126,3.9823202830473887,4.576747100828436
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.270748502708938,3.16455429266492,2.815393217994335,2.798976574215613,4.31353366169665,4.65298731796916,4.695081155246764,5.3832963165574705,5.714594247641204,5.253130693900426,6.748143343766653,7.7685287472273075,6.818826639142808,2.963725161897823,3.3298421336707653,3.5896262075524294,4.114217267970957
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0114283006394154,1.4607261257451083,2.0911436828637164,2.4503565016866995,2.6373942437272246,2.6932125794732453,3.853025823818871,4.357667056599396,4.077289897413634,4.97401397742208,6.100503650465264,4.865302703451347,2.449369816966706,2.8777185462607733,3.561640167583764,4.261813773178851
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.122177488482268,2.8732735590826666,2.5006867044363594,2.4632992366715842,2.459419343926853,4.022154496764534,4.5723256189651496,4.44866879175536,4.89308612104093,6.058174660573602,4.605490613581657,3.1383499327691906,3.368061989901667,4.342986619608561,5.003537193703046
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095006633723071,1.5444888967952806,2.166651530668437,2.156407745433721,2.613993879086615,3.0553124371788494,2.7378838151037423,3.967763111729337,4.984080955167391,4.168937788378483,1.524594372937924,2.448653984334164,2.3842410199026873,3.207469548953277
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.174398562735025,2.5345364836334565,3.0659855758022156,2.828102470573102,3.3993381314110787,2.5113956606072665,4.152952726562849,5.138879831910448,4.355785385495051,2.1288995851240546,3.249571048506653,2.423882409296318,3.3758008649731917
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0983927034360006,1.1002510313598468,1.527408871033844,2.19678604436745,2.1618933016106245,2.5759199386771963,3.6610952496456424,2.751744620663188,2.529693442565238,3.2451417824965607,3.249490090984031,3.995539195722139
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.766624056628552,2.104349976447399,3.031879044859276,2.574927197646662,2.568696356952613,3.8024251821849053,2.2345890135105977,3.470690143362318,4.194960747790377,4.184366490263346,5.001951768445852
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1722790860603864,2.4662445830097193,3.0662298919456403,2.9671651961455714,3.937180795403177,3.1210856684166415,2.743606155817045,3.0412112627706422,3.6954276682611664,4.2503899059615495
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0963177762469822,1.1016905323953385,1.5875691059451855,2.3969012232306337,2.407054217597364,3.160492946390959,3.9923408472079567,3.300533901429854,3.9807741564457086
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7607950355859712,2.2050761223012985,2.5396964647205325,3.2521149445660456,3.061709464717641,3.7147983489370766,3.0444599917790103,3.4895206212360255
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1835301738872963,2.840932339947836,2.92927938414489,3.3149333987825447,4.35861798759854,3.105317886746808,3.8866753399473954
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2505769930512207,1.2596686537842636,4.6935162160934185,5.425520525741394,4.881760154299563,5.5290897519100906
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.277868575974663,5.465086911541935,6.145910978675632,5.4517004831239575,5.968002093253056
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.201444695436379,5.916706088927685,5.599529018532257,6.337463140915679
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.215860706027947,1.3520203874755685,1.8668369478028934
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2451848837787116,2.2564538768310247
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975828654825545
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
