,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29C,30H,31H,32C,33H,34H,35H,36C,37H,38H,39H,40C,41O,42O,43H
1N,0.0,1.0205204979066491,1.021750690447544,1.4617019425400768,2.0768628847464257,2.462756825070434,2.4422433111975095,2.891355830096726,3.795770869127551,4.89887552002603,4.993937290726938,4.352504490739078,3.9855292265007267,6.147959257629206,7.025396222669343,5.715074799363109,6.356656804674408,6.495484007771335,7.825204173088715,8.338464439669881,2.4934508298055196,2.7546507042916883,3.7334765377368586,4.0189081849445625,4.9394111089170085,4.902603012963648,6.161735319021969,6.998822352192952,6.713282099912195,6.204656517078353,6.814151832370968,6.222680039183679,5.596738428119411,7.255622481615632,6.17816220235019,8.171236014791631,8.357814357486616,8.686388156487661,8.797589610990963,5.54696109242947,5.444716514948164,6.642756658930892,7.128225628824154
2H,0.0,0.0,1.6033018375955994,2.0274629066517953,2.354169918672808,3.3493749609207577,3.4221639539637896,3.781494335537187,4.564186399311999,5.638559648470847,5.731223003785537,5.023455350664818,4.598610564899283,6.839769590181147,7.70722287886186,6.334655198688212,6.9119724521733,7.142856948918677,8.437480394656124,8.966862039977528,2.6515739332918327,2.672357858425034,3.891677932965244,4.339154701833447,4.986224071453912,4.765514038631973,6.137449246620143,6.943706053794175,6.868068777064601,6.402975948864191,7.099406033472654,5.986295352683447,5.365956903505922,7.006109939750306,5.796607091440783,8.271452043881025,8.353190791237026,8.883187245204917,8.868035183208146,5.78545683606816,5.887621277659936,6.775678703604955,7.356759596137582
3H,0.0,0.0,0.0,2.0215140599528216,2.9141561771092017,2.7112369191536456,2.728334072545584,2.7386725775914096,4.186308674043887,5.1162411714869425,5.003532688490625,4.978223690908204,4.743493017094046,6.456117166699295,7.242912992821025,6.342003059620697,7.075312179948165,6.983568594294226,8.341602848904303,8.77095604131949,2.6271991617921118,2.5453742910518677,3.9593007925228414,4.353739115865896,4.987502394207855,4.871423051742408,6.363769138116294,7.092496734656559,6.988701532432685,6.6077833723511485,6.9693531682552345,6.590708536582734,6.106179034353115,7.663122564607184,6.476301243055447,8.490446222844103,8.772440083722675,9.02801989988333,9.021653750047923,5.362254224057619,5.199356392560653,6.3710203842608255,6.763150561393256
4C,0.0,0.0,0.0,0.0,1.0980771385309043,1.5581209860632825,2.126055056454033,2.182762197667857,2.6023415672146037,3.61733071998674,3.7824066375761256,3.2859061725858756,3.2000206755964937,4.819443968672147,5.681857223672376,4.571249470790041,5.316997529461533,5.213880617196512,6.537310873294307,7.005081863566079,1.5472676538675965,2.4244077620435776,2.48274793155385,2.594292042971538,3.8360270268403798,4.059029632139467,4.9566138345406285,5.865571097442368,5.337643871250074,4.783781694861407,5.431769883519058,5.143637391006203,4.505570610672523,6.151415224239116,5.30029508819966,6.796462636679776,7.026793884132544,7.259692378889661,7.466997711065991,4.493110291873787,4.3745430530689156,5.7080097444803375,6.223785502625498
5H,0.0,0.0,0.0,0.0,0.0,2.165714694694739,2.6002681972308417,3.0528669030599054,2.679825040815222,3.808389700901559,4.227161050699083,2.8982045641183403,2.6482947460610275,4.787730326290214,5.728439985643836,4.094029112025045,4.687945687301669,4.909139704379532,6.153276966668628,6.723676964611676,2.1569761588806293,3.1421704274065587,2.690869295784081,2.6190135075838374,4.109561292032938,4.391303342633747,4.93864891802085,5.944956790846843,5.220186890872579,4.508473444093944,5.492930804410906,4.87272792115522,4.052371588732739,5.791253964598464,5.118124730454186,6.568776508920254,6.654451528828148,7.005428131029143,7.3457308111170585,5.017044780101283,5.005299622737999,6.240320049958171,6.844534189372553
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0962924893027104,1.097309570789014,1.5163319880709507,2.5519300119594455,2.762519449724495,2.536514075921705,2.7294913268850154,3.8391799268066586,4.708888717853079,3.8264893858088707,4.700343488428985,4.3408559790245596,5.707470832472299,6.125130190988572,2.5728300307679652,3.4800619623520244,3.116515640076944,2.824634663303029,4.4066395921864485,4.895325054615813,5.507482107423394,6.396435133600038,5.523529534558844,4.925419830878748,5.358931397994558,6.009874268463116,5.421257859833093,6.961208380576922,6.354691469303815,6.986623446940248,7.387672158871561,7.246363129860019,7.682812808109213,4.641192526166099,4.119154120390496,5.947994087583341,6.264388260387446
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7622278377318386,2.146618029632853,3.3194329356501666,3.6248409644114195,2.7457897065460646,2.612476882048204,4.496063234957605,5.418029853416063,4.08526712656878,4.815808808700628,4.805030569838114,6.137049332181603,6.63986602546488,3.440181473366892,4.211717265575601,4.1468027152955464,3.8678333393451276,5.465141988363481,5.882069050071716,6.568564010388497,7.472981658485616,6.574486699733828,5.914084467833597,6.423769638618623,6.977306188390384,6.313039582296132,7.923645576219854,7.286581351496545,8.01252590370354,8.37442866438096,8.232175402796939,8.74390812549014,5.702671772221602,5.139101479838729,6.9897280295599575,7.273934405231443
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1538964333661914,2.6534193496311933,2.4265463922548802,3.422252675295063,3.765383698904659,4.042503863817748,4.724699250547848,4.5845329362451235,5.543918163825937,4.8343821678539225,6.187565330286439,6.458285614044971,2.679222617345107,3.3395681224757405,3.2493559508127667,3.1026470602303777,4.293682338628886,4.754965801139355,5.552462784053078,6.308538623809466,5.625723335851597,5.212368022288381,5.283591188302933,6.273898875893742,5.856888612531219,7.257514636595629,6.564015248519887,7.1269979893649875,7.65565892351323,7.402452325474207,7.69987586427014,4.186441078730227,3.501880438092588,5.427457364347502,5.608614594762435
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4014791895713836,2.156508214164028,1.4068687012826666,2.1594043180101834,2.4393881839498452,3.4212226096149525,2.4435749702646623,3.4317621946304158,2.8247541263689624,4.191819113603115,4.624651735386953,3.3468608806912843,4.467663595523758,3.266000165426443,2.5276459030614937,4.5012199189052025,5.256595010397593,5.249416954354288,6.194370695599954,4.856193062072061,4.10633892868822,4.669999348911468,5.815537686315673,5.189480232300459,6.616958525220886,6.404288863319114,6.1869340692899035,6.6094419003090055,6.256176896505704,6.989323108168304,4.737047848465336,4.15424255646089,6.089169701672054,6.397143983577628
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0865988299707925,2.403471257804428,3.392584781448171,1.3984951085060915,2.1581688606303095,2.790206779209686,3.875959599777016,2.422129706802689,3.6931352379463163,3.8436261959240077,3.860832998718755,4.916934224667451,3.3971665734774676,2.561867345637011,4.278627365314096,5.203656346514572,4.887500856416852,5.708517830768389,4.229549934787276,3.6382885819877866,3.784789700778042,5.759639611723042,5.337680519772797,6.475988055661728,6.4567075368279445,5.491898009262523,6.102783532826464,5.434394369535322,6.215042261408387,4.175963667034281,3.4242068180789116,5.469874643617615,5.648282154647264
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.393875785489516,4.298639304557495,2.148823250201804,2.469878957656679,3.8766443869725493,4.962357740043323,3.400631352855317,4.573182861146318,4.552078803767992,3.7137888356567466,4.588366656129217,3.2836954424725278,2.672467814154837,3.9120194496705447,4.8053501701463475,4.700988556099853,5.375334813745012,4.191047101849396,3.866776292507171,3.549571150985807,5.779255068605869,5.5354917127382866,6.549562819433418,6.3869990520024755,5.520691864104182,6.2547900952250055,5.546996225124618,6.079037484493509,3.4639755263289755,2.5259831107256674,4.70211983015765,4.759054794408899
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088366081245971,2.7804383854931594,3.869671691434725,1.3908137552016788,2.164512051386987,2.4142210247106997,3.6427681583948983,4.3281274281475515,4.261638980487625,5.438318032991738,4.126196755442952,3.3134110979278137,5.425326071013707,6.175210662626438,5.917600913782563,6.94535052909006,5.391115242766052,4.44470821942317,5.394701420351468,6.220944844727038,5.420310714704129,6.90063345512596,6.885054192186353,6.5406028548581405,6.794049263568528,6.511087596678293,7.474757926168647,5.894394097565507,5.4283286822459225,7.238199248357319,7.622054352473998
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8687116047449805,4.9579397179682845,2.1412852911711027,2.483061484411239,3.3953606458070222,4.506487442973453,5.27845158358385,4.438327963048981,5.549389206754403,4.552639654286934,3.8933186896044143,5.948949961639684,6.5624352711394,6.501539538668412,7.561804731518734,6.147956240971615,5.179769941827771,6.263272865089472,6.60335549709399,5.702854272555217,7.309899942645648,7.16576554430918,7.305297251306973,7.445514920493759,7.353641252435973,8.255086840676848,6.563861982256028,6.178963514227619,7.904201005578332,8.344712524840721
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0892542242485006,2.4185851963029776,3.396361919088434,1.397295457720735,2.4296804505196765,2.4558048909007573,5.034331142245534,6.136512282468072,4.32057928214164,3.364213325290628,5.040088010687136,6.066178468049154,5.2612177791111385,6.053704558159847,4.222485352642588,3.5624078699384074,3.7790205873534184,6.1154073191029035,5.702100467618671,6.633173900476149,6.973957278307254,5.178446794746959,5.793709661096017,4.8533853347206115,5.972155330657784,4.9603481376774745,4.276997282174214,6.15548344657368,6.313829130172427
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4080200019645437,4.296835033920252,2.1599371622354577,2.6954085946369495,2.302311665560705,5.687281836289425,6.707964190617022,4.848966134971138,3.957238390818704,5.293805044025637,6.3616739768286195,5.387910521497481,6.027246815578133,4.202602598958129,3.7631438168878955,3.5631854198191917,6.412980221999625,6.163025820554573,6.843572839985722,7.304079962467514,4.981575063363492,5.735906856371614,4.52044502673176,5.656922343697625,4.981807185854332,4.253500838555508,6.032427943765916,6.073983767952486
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.085854834080436,1.4010839503249808,2.366823028780601,3.1766295551899706,5.347038228643564,6.560743460476388,4.916865959008988,3.9702786470196973,6.04891588825637,6.920859269384221,6.236097483480355,7.239017228147469,5.394809240146485,4.391108016930149,5.401938885799974,6.554835559704724,5.780623346952896,7.0522035619896934,7.374157936720096,6.289841565102351,6.525975231208343,6.046498333611772,7.284661689008517,6.4813374646341835,6.011432322552739,7.777388194252964,8.1367092390992
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1481350657914016,2.570762670574552,3.518408065517604,6.184802223091856,7.399253600591942,5.779014105732387,4.860077929474126,6.928458623400941,7.767526408765308,7.000744689221754,8.024671441728197,6.140319025687264,5.086463301241338,6.258839231126317,7.148335254514077,6.297554752150206,7.555142254036391,7.979472164921216,6.88727060796246,6.9930882029385995,6.5934579367773045,7.930704575939725,7.472304752395184,7.062408447827847,8.755177317573148,9.154396111462754
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3680612879495522,1.9165273306908501,5.678439923050615,6.867294054302588,5.0034335585138825,3.994644740407243,5.8819495523577805,6.8755738206873644,5.93539053865419,6.826914501796467,4.8444360148735575,3.967489440047226,4.66226790678707,6.507601107977885,5.918423472950752,6.924440224349452,7.419332949446037,5.616280980880805,6.022286924905188,5.204172318025382,6.551011706624872,6.0777321461406055,5.526304656657045,7.295863863413691,7.554353419424045
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9702219388850083,6.9464784880241925,8.136644959411555,6.154337457823625,5.142600956842039,6.897631853547362,7.925952115426729,6.707524594888558,7.5341899704089865,5.4278725452210805,4.595811435485967,5.276488456812423,7.237533913533925,6.687812866293728,7.475145111035457,8.230977983946326,5.863112505405543,6.219163499944877,5.229411675959737,6.801577566261912,7.082131046824694,6.5707341239156385,8.208973845755581,8.444988851058644
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.255561223260386,8.402009274514308,6.3722493762433565,5.379439165287831,6.9448447597407945,8.012969964835682,6.69685366519814,7.417976440541738,5.317147704650315,4.639475673973317,5.026133125310401,7.382646893836681,6.964652608111001,7.578031095097163,8.398114217378746,5.643639132172472,6.123437266451143,4.901224157870454,6.490685145669742,6.961912463233497,6.411234220642623,8.000735062020931,8.155583822011337
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2266987045347386,1.3734404838051688,2.0464375030628412,2.4466984613243974,2.535677586707078,3.742752236760247,4.528573541449979,4.431345291768223,4.1603229948008185,4.535283493857361,4.065013032894886,3.69645649606145,5.138965848010362,4.10263674735948,5.913018449867791,6.194356957946506,6.534927677409027,6.421419057282512,3.1937811293231215,3.380245733440214,4.297759267840105,4.90531819213934
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2779323526975768,3.1448494981712685,2.769350790293101,2.385448712619205,4.189012692857311,4.754862294646674,5.162886363628581,5.090485942068523,5.241248109959204,4.480285956575424,4.311658965129101,5.5739318697214255,4.227899079983406,6.603695801650495,6.886196880082216,7.3311100495642405,6.954525512976535,3.35678586019162,3.7032217869007193,4.172961966146703,4.768668205819222
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0132936744679246,1.449797539895276,2.049031275769081,2.505053654119017,3.398306349608305,3.0592947959745156,2.8330796464514,3.2314645981373595,3.035397346642275,2.758886890329994,4.053806574909539,3.3567320795518443,4.544271329562498,4.867430850106667,5.166814215021314,5.0818972432957175,2.4591360878633344,2.8135085397389537,3.633316086051769,4.322487712112741
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1204721249216596,2.9578784435175485,2.7743552620886507,3.7575102843376196,2.7817110055639493,2.276177279408246,2.8892213846113775,3.374011329544163,2.9508984538299137,4.253487113338573,3.9518876857800453,4.257539514962864,4.626720682428924,4.69360606931383,4.9477326742262635,2.8650973842467184,2.923262837471421,4.136623116133368,4.725252298346226
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0939571922676126,1.556039514117801,2.130023375887382,2.577438338377214,2.900857172659506,2.7079862249455613,2.5333525754118225,2.820388832331355,3.496900428567504,2.7469535052225944,3.949983274923431,4.374955699468845,4.739157763806491,4.201804944807097,1.5319344084492281,2.4538613525612054,2.381381334690671,3.2170765929757135
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1668703026442335,2.455911582628984,3.5056173433657842,3.86125631208807,3.727514278023662,2.6935332649859705,3.078317081820793,3.694419103990368,2.447830213298661,4.733343388278692,5.027575603342833,5.626598423632711,4.863811220720152,2.1148010181652057,3.1446627652765677,2.534305692127248,3.435157228201508
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0983345164835794,1.54501746803443,2.177879000148827,2.17184502861887,1.5362814285453232,2.1842280693788805,2.185137009667759,2.183348374998796,2.581832003137328,2.892177591440513,3.5260909015413024,2.8302780831771077,2.5523059215446433,3.477589153651201,2.9920602603127615,3.850763217691447
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149818012803146,3.062921509426606,2.537572216504246,2.1502269288166858,3.0721395102425935,2.501971423757254,2.491595953507698,2.7399827081720995,3.1331805425083057,3.7396738152817663,2.5389710530033653,2.6721807224175835,3.731071693796561,2.5767006144063265,3.4243664861757797
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099579984941888,1.0986130743498745,2.564954773191231,2.844205190728676,2.8186567955648463,3.517186379411861,1.534370756771729,2.1950381839835087,2.178295683103655,2.184354833973085,3.1006950317991664,3.5967937769504523,3.72872962511384,4.349962191201793
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7557551062899708,2.7748195366853734,2.6098546338260706,3.101179733313299,3.794572736797778,2.158542551833204,2.5187431044233035,2.5044706294514696,3.080256589968408,3.614902667541608,3.914727949160333,4.505040745145388,5.121408119480154
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4989521799059746,3.7912985319615187,3.84867169140515,4.332789450910706,2.152890194039537,3.080836090075921,2.4620824947015327,2.5347577506147854,2.6530519286456484,2.8838808825691444,3.3094210454900588,3.7221544379131655
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957653590071872,1.0948022225824052,1.0963601822535785,3.172035307631615,2.9119181562040297,4.164649201955127,3.549915553116511,3.8919471096548808,4.8328537989164815,4.298542387856984,5.228393328850239
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7737026820684836,1.7708495709817031,3.5987143714382763,3.264434926647285,4.429450894057126,4.229826394733743,4.279004986122347,5.0437566624784615,4.9547069899931175,5.855616457550215
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7678861076624353,2.852218706111394,2.2862610646106067,3.85012375362067,3.1683630395661257,4.712110028306715,5.649526953363745,4.971532584154996,5.86867611500548
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.143618440834179,3.8863308538290897,5.181043364055916,4.34223591561175,4.1188306392401985,5.175027528140601,4.344587528435887,5.31782884125979
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0954892219789878,1.0960644317160546,1.0973622716165818,4.407702865540301,4.942733037549879,4.721770937216873,5.287793261315592
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7655368466897243,1.7710349961862775,5.1219965497116675,5.758295325589935,5.444172667786443,6.116611067517158
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7708237386930712,5.0269023901687895,5.341304970059825,5.425113360727545,5.860614073353601
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4551138491313775,5.093673910088384,4.4477326785964655,4.9562896233084
40C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2120945929980214,1.3538076272607835,1.8787856308336
41O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2505509858151247,2.281157442394224
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764764835286059
43H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
